序号,字段名称,数据采集项,数据类型,上传时不能为空,举例,备注,序号,序号,,,,,
102,Cap-Adult-7-1-2-1,氧疗方法,数组,参考备注,"例:[""a"",""b""]","患者有无接受抗菌药物治疗(Cap-Adult-4-1)等于""否""(n)时无需填写;","是否实施氧疗(Cap-Adult-7-1-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-Adult-7-1-2-1选择代码表,,,
103,Cap-Adult-7-1-3-1,氧疗 30min 后是否复查动脉血气,字符串,参考备注,"例:""y""","患者有无接受抗菌药物治疗(Cap-Adult-4-1)等于""否""(n)时无需填写;","是否实施氧疗(Cap-Adult-7-1-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-Adult-7-1-3-1选择代码表,,,
104,Cap-Adult-7-2-1-1,是否实施无创正压通气（NIV）,字符串,参考备注,"例:""y""","患者有无接受抗菌药物治疗(Cap-Adult-4-1)等于""否""(n)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-Adult-7-2-1-1选择代码表,,,,
105,Cap-Adult-7-2-2-0,无创正压通气的应用指征,字符串,参考备注,"例:""a""","患者有无接受抗菌药物治疗(Cap-Adult-4-1)等于""否""(n)时无需填写;","是否实施无创正压通气（NIV）(Cap-Adult-7-2-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-Adult-7-2-2-0选择代码表,,,
106,Cap-Adult-7-2-2-1,其它无创正压通气的应用指征,字符串,参考备注,"例:""填写文字说明""","患者有无接受抗菌药物治疗(Cap-Adult-4-1)等于""否""(n)时无需填写;","无创正压通气的应用指征(Cap-Adult-7-2-2-0)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,,
107,Cap-Adult-6-2-5-1,患者无创正压通气起始日期时间,字符串,参考备注,"例:""1970-01-01 12:00""","患者有无接受抗菌药物治疗(Cap-Adult-4-1)等于""否""(n)时无需填写;","是否实施无创正压通气（NIV）(Cap-Adult-7-2-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,患者无创正压通气起始日期时间应大于入院日期,,,,
108,Cap-Adult-6-2-4-2,患者无创正压通气终止日期时间,字符串,参考备注,"例:""1970-01-01 12:00""","患者有无接受抗菌药物治疗(Cap-Adult-4-1)等于""否""(n)时无需填写;","是否实施无创正压通气（NIV）(Cap-Adult-7-2-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,患者无创正压通气终止日期时间应大于起始日期;,患者无创正压通气终止日期时间应小于出院日期,,,
109,Cap-Adult-6-2-5,无创正压通气疗程（小时）,数值,否,例:10,"患者有无接受抗菌药物治疗(Cap-Adult-4-1)等于""否""(n)时无需填写;","是否实施无创正压通气（NIV）(Cap-Adult-7-2-1-1)等于""是""(y)时可填写;","日期差值计算公式:患者无创正压通气终止日期时间(Cap-Adult-6-2-4-2)-患者无创正压通气起始日期时间(Cap-Adult-6-2-5-1),单位:小时",,,,,
110,Cap-Adult-7-3-1,是否实施有创机械通气,字符串,参考备注,"例:""y""",可选项;模块[氧疗与辅助呼吸];,"当是否实施有创机械通气(Cap-Adult-7-3-1)值等于y时,下级联动必填项。","若该字段值等于n时,下级联动选项值接口中不必提交",若该字段无相应取值，则接口中不必提交该字段,见,Cap-Adult-7-3-1选择代码表,,
111,Cap-Adult-7-3-2,有创机械通气的具体应用指征,字符串,参考备注,"例:""a""","患者有无接受抗菌药物治疗(Cap-Adult-4-1)等于""否""(n)时无需填写;","是否实施有创机械通气(Cap-Adult-7-3-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-Adult-7-3-2选择代码表,,,
112,Cap-Adult-7-3-2-1,其它有创机械通气的具体应用指征,字符串,参考备注,"例:""填写文字说明""","患者有无接受抗菌药物治疗(Cap-Adult-4-1)等于""否""(n)时无需填写;","有创机械通气的具体应用指征(Cap-Adult-7-3-2)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,,
113,Cap-Adult-6-3-4-1,患者有机械通气起始日期时间,字符串,参考备注,"例:""1970-01-01 12:00""","患者有无接受抗菌药物治疗(Cap-Adult-4-1)等于""否""(n)时无需填写;","是否实施有创机械通气(Cap-Adult-7-3-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,患者有机械通气起始日期时间应大于入院日期,,,,
114,Cap-Adult-6-3-4-2,患者有机械通气终止日期时间,字符串,参考备注,"例:""1970-01-01 12:00""","患者有无接受抗菌药物治疗(Cap-Adult-4-1)等于""否""(n)时无需填写;","是否实施有创机械通气(Cap-Adult-7-3-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,患者有机械通气终止日期时间应大于起始日期;,患者有机械通气终止日期时间应小于出院日期,,,
115,Cap-Adult-6-3-5,有机械通气疗程（小时）,数值,否,例:10,"患者有无接受抗菌药物治疗(Cap-Adult-4-1)等于""否""(n)时无需填写;","是否实施有创机械通气(Cap-Adult-7-3-1)等于""是""(y)时可填写;","日期差值计算公式:患者有机械通气终止日期时间(Cap-Adult-6-3-4-2)-患者有机械通气起始日期时间(Cap-Adult-6-3-4-1),单位:小时",,,,,
116,Cap-Adult-7-4-1,是否实施体外膜肺氧合ECMO,字符串,参考备注,"例:""y""",可选项;模块[氧疗与辅助呼吸];,"当是否实施体外膜肺氧合ECMO(ⅡB)Cap-Adult-7-4-1)值等于y时,下级联动必填项","。若该字段值等于n时,下级联动选项值接口中不必提交",若该字段无相应取值，则接口中不必提交该字段,见,Cap-Adult-7-4-1选择代码表,,
117,Cap-Adult-7-4-2,体外膜肺氧合应用指征,字符串,参考备注,"例:""a""","患者有无接受抗菌药物治疗(Cap-Adult-4-1)等于""否""(n)时无需填写;","是否实施体外膜肺氧合ECMO(Cap-Adult-7-4-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-Adult-7-4-2选择代码表,,,
118,Cap-Adult-7-4-2-1,其它体外膜肺氧合应用指征,字符串,参考备注,"例:""填写文字说明""","患者有无接受抗菌药物治疗(Cap-Adult-4-1)等于""否""(n)时无需填写;","体外膜肺氧合应用指征(Cap-Adult-7-4-2)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,,
119,Cap-Adult-6-4-8,患者体外膜肺氧合起始日期时间,字符串,参考备注,"例:""1970-01-01 12:00""","患者有无接受抗菌药物治疗(Cap-Adult-4-1)等于""否""(n)时无需填写;","是否实施体外膜肺氧合ECMO(Cap-Adult-7-4-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,患者体外膜肺氧合起始日期时间应大于入院日期,,,,
120,Cap-Adult-6-4-4-2,患者体外膜肺氧合终止日期时间,字符串,参考备注,"例:""1970-01-01 12:00""","患者有无接受抗菌药物治疗(Cap-Adult-4-1)等于""否""(n)时无需填写;","是否实施体外膜肺氧合ECMO(Cap-Adult-7-4-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,患者体外膜肺氧合终止日期时间应大于起始日期;,患者体外膜肺氧合终止日期时间应小于出院日期,,,
121,Cap-Adult-6-4-9,体外膜肺氧合疗程（小时）,数值,否,例:10,"患者有无接受抗菌药物治疗(Cap-Adult-4-1)等于""否""(n)时无需填写;","是否实施体外膜肺氧合ECMO(Cap-Adult-7-4-1)等于""是""(y)时可填写;","日期差值计算公式:患者体外膜肺氧合终止日期时间(Cap-Adult-6-4-4-2)-患者体外膜肺氧合起始日期时间(Cap-Adult-6-4-8),单位:小时",,,,,
122,Cap-Adult-8-1,吸烟史,字符串,是,"例:""y""",见,Cap-Adult-8-1选择代码表,,,,,,
123,Cap-Adult-8-2,吸烟程度评估有记录,数组,参考备注,"例:[""a"",""b""]","吸烟史(Cap-Adult-8-1)等于""是, 近一年内有吸烟史，烟草使用状况 ""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-Adult-8-2选择代码表,,,,
124,Cap-Adult-8-3,接受戒烟的建议或者戒烟治疗有记录,数组,参考备注,"例:[""a"",""b""]","吸烟史(Cap-Adult-8-1)等于""是, 近一年内有吸烟史，烟草使用状况 ""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-Adult-8-3选择代码表,,,,
125,Cap-Adult-8-2-1,是否接种肺炎链球菌疫苗,字符串,是,"例:""y""",见,Cap-Adult-8-2-1选择代码表,,,,,,
126,Cap-Adult-8-2-2,患者接受肺炎链球菌疫苗接种的缘由,数组,参考备注,"例:[""a"",""b""]","是否接种肺炎链球菌疫苗(Cap-Adult-8-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-Adult-8-2-2选择代码表,,,,
127,Cap-Adult-8-3-1,是否接种流感疫苗,字符串,是,"例:""y""",见,Cap-Adult-8-3-1选择代码表,,,,,,
128,Cap-Adult-8-3-2,患者接受流感疫苗接种的缘由,数组,参考备注,"例:[""a"",""b""]","是否接种流感疫苗(Cap-Adult-8-3-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-Adult-8-3-2选择代码表,,,,
129,Cap-Adult-9-3-1,交与患者“出院小结”的副本告知患者出院时风险因素,数组,是,"例:[""a"",""b""]",见,Cap-Adult-9-3-1选择代码表,,,,,,
130,Cap-Adult-9-3-2,出院带药,数组,否,"例:[""a"",""b""]",若该字段无相应取值，则接口中不必提交该字段,见,Cap-Adult-9-3-2选择代码表,,,,,
131,Cap-Adult-9-3-5,告知何为发生紧急意外情况或者疾病复发,数组,是,"例:[""a"",""b""]",见,Cap-Adult-9-3-5选择代码表,,,,,,
132,Cap-Adult-9-3-3,告知发生紧急意外情况或者疾病复发如何救治及前途经,数组,否,"例:[""a"",""b""]",若该字段无相应取值，则接口中不必提交该字段,见,Cap-Adult-9-3-3选择代码表,,,,,
133,Cap-Adult-9-3-4,出院时教育与随访,数组,是,"例:[""a"",""b""]",见,Cap-Adult-9-3-4选择代码表,,,,,,
134,CM-4-3,离院方式选择,字符串,是,"例:""a""",见,CM-4-3选择代码表,,,,,,
135,CM-4-5,非医嘱离院可能涉及因素,数组,参考备注,"例:[""a"",""b""]","离院方式选择(CM-4-3)等于""非医嘱离院""(d)时可填写;",若该字段无相应取值，则接口中不必提交该字段,见,CM-4-5选择代码表,,,,
136,CM-4-4-1,其他非医嘱离院因素填写,字符串,参考备注,"例:""填写文字说明""","非医嘱离院可能涉及因素(CM-4-5)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,,,
137,Cap-Adult-9-1,出院标准,数组,参考备注,"例:[""a"",""b""]","离院方式选择(CM-4-3)等于""死亡""(e)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-Adult-9-1选择代码表,,,,
138,Cap-Adult-9-1-1,其他标准,字符串,参考备注,"例:""填写文字说明""","离院方式选择(CM-4-3)等于""死亡""(e)时无需填写;","出院标准(Cap-Adult-9-1)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,,
139,CM-4-6,死亡可能涉及因素,字符串,参考备注,"例:""a""","离院方式选择(CM-4-3)等于""死亡""(e)时可填写;",若该字段无相应取值，则接口中不必提交该字段,见,CM-4-6选择代码表,,,,
140,CM-5-1,患者是否对服务的体验与评价,字符串,是,"例:""y""",见,CM-5-1选择代码表,,,,,,
141,CM-5-2-1,整体医院评级,字符串,参考备注,"例:""a""","患者是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-1选择代码表,,,,
142,CM-5-2-2,患者推荐,字符串,参考备注,"例:""a""","患者是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-2选择代码表,,,,
143,CM-5-2-3,病房、床单元和卫生间清洁度,字符串,参考备注,"例:""a""","患者是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-3选择代码表,,,,
144,CM-5-2-5,病房与周边噪音,字符串,参考备注,"例:""a""","患者是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-5选择代码表,,,,
145,CM-5-2-6,医生沟通,字符串,参考备注,"例:""a""","患者是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-6选择代码表,,,,
146,CM-5-2-7,护士沟通,字符串,参考备注,"例:""a""","患者是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-7选择代码表,,,,
147,CM-5-2-8,药师沟通,字符串,参考备注,"例:""a""","患者是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-8选择代码表,,,,
148,CM-5-2-9,康复计划,字符串,参考备注,"例:""a""","患者是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-9选择代码表,,,,
149,CM-5-2-10,出院时的知情告知,字符串,参考备注,"例:""a""","患者是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-10选择代码表,,,,
150,CM-5-2-11,膳食评价,字符串,参考备注,"例:""a""","患者是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-11选择代码表,,,,
151,CM-6-1,住院总费用,数值,是,例:10,住院总费用要大于0;,住院总费用要小于1000000;,住院总费用应大于等于各项费用之和,,,,,
152,CM-6-2,住院总费用其中自付金额,数值,是,例:10,自付金额要,自付金额应≤住院总费用,,,,,,
153,CM-6-3,一般医疗服务费,数值,是,例:10,一般医疗服务费要,,,,,,,
154,CM-6-4,一般治疗操作费,数值,是,例:10,一般治疗操作费要,,,,,,,
155,CM-6-5,护理费,数值,是,例:10,护理费要,,,,,,,
156,CM-6-6,综合医疗服务类其他费用,数值,是,例:10,综合医疗服务类其他费用要≥0,,,,,,,
157,CM-6-7,病理诊断费,数值,是,例:10,病理诊断费要≥0,,,,,,,
158,CM-6-8,实验室诊断费,数值,是,例:10,实验室诊断费要≥0,,,,,,,
159,CM-6-9,影像学诊断费,数值,是,例:10,影像学诊断费要≥0,,,,,,,
160,CM-6-10,临床诊断项目费,数值,是,例:10,临床诊断项目费要≥0,,,,,,,
161,CM-6-11,非手术治疗项目费,数值,是,例:10,非手术治疗项目费要≥0,,,,,,,
162,CM-6-12,其中：临床物理治疗费,数值,是,例:10,临床物理治疗费要≥0,,,,,,,
163,CM-6-13,手术治疗费,数值,是,例:10,手术治疗费要≥0,,,,,,,
164,CM-6-14,其中：麻醉费,数值,是,例:10,麻醉费要≥0,,,,,,,
165,CM-6-15,其中：手术费,数值,是,例:10,手术费要≥0,,,,,,,
166,CM-6-16,康复费,数值,是,例:10,康复费要≥0,,,,,,,
167,CM-6-17,中医治疗费,数值,是,例:10,中医治疗费要≥0,,,,,,,
168,CM-6-18,西药费,数值,是,例:10,西药费要≥0,,,,,,,
169,CM-6-19,其中：抗菌药物费,数值,是,例:10,抗菌药物费要≥0,,,,,,,
170,CM-6-20,中成药费,数值,是,例:10,中成药费要≥0,,,,,,,
171,CM-6-21,中草药费,数值,是,例:10,中草药费要≥0,,,,,,,
172,CM-6-22,血费,数值,是,例:10,血费要≥0,,,,,,,
173,CM-6-23,白蛋白类制品费,数值,是,例:10,白蛋白类制品费要≥0,,,,,,,
174,CM-6-24,球蛋白类制品费,数值,是,例:10,球蛋白类制品费要≥0,,,,,,,
175,CM-6-25,凝血因子类制品费,数值,是,例:10,凝血因子类制品费要≥0,,,,,,,
176,CM-6-26,细胞因子类制品费,数值,是,例:10,细胞因子类制品费要≥0,,,,,,,
177,CM-6-27,检查用一次性医用材料费,数值,是,例:10,检查用一次性医用材料费要≥0,,,,,,,
178,CM-6-28,治疗用一次性医用材料费,数值,是,例:10,治疗用一次性医用材料费要≥0,,,,,,,
179,CM-6-29,手术用一次性医用材料费,数值,是,例:10,手术用一次性医用材料费要≥0,,,,,,,
,CM-6-30,其他费,数值,是,例:10,其他费要≥0,,,,,,,
