序号,字段名称,数据采集项,数据类型,上传时不能为空,举例,备注,序号,序号,,,,,,,,
108,VTE-4-1-1,"是否为临床高度拟诊""VTE""的患者",字符串,参考备注,"例:""a""","是否需要三级预防深静脉栓塞(VTE-3-3-0)等于""否""(n)时无需填写;","是否进行预防效果评估(VTE-3-4-3)等于""否""(n)时无需填写;","预防效果评估及相关不良事件(VTE-3-4-4)等于""无症状性VTE的发生""(a)时无需填写;","预防效果评估及相关不良事件(VTE-3-4-4)等于""与预防相关的不良事件""(d)时无需填写;","预防效果评估及相关不良事件(VTE-3-4-4)等于""与预防不相关的不良事件""(e)时无需填写;","预防效果评估及相关不良事件(VTE-3-4-4)等于""其他""(oth)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,VTE-4-1-1选择代码表,,
109,VTE-4-1-2,DVT临床高度可疑患者的识别检查项目,数组,参考备注,"例:[""a"",""b""]","是否需要三级预防深静脉栓塞(VTE-3-3-0)等于""否""(n)时无需填写;","是否进行预防效果评估(VTE-3-4-3)等于""否""(n)时无需填写;","预防效果评估及相关不良事件(VTE-3-4-4)等于""无症状性VTE的发生""(a)时无需填写;","预防效果评估及相关不良事件(VTE-3-4-4)等于""与预防相关的不良事件""(d)时无需填写;","预防效果评估及相关不良事件(VTE-3-4-4)等于""与预防不相关的不良事件""(e)时无需填写;","预防效果评估及相关不良事件(VTE-3-4-4)等于""其他""(oth)时无需填写;","是否为临床高度拟诊""VTE""的患者(VTE-4-1-1)等于""DVT临床高度可疑患者""(a)时必填;","是否为临床高度拟诊""VTE""的患者(VTE-4-1-1)等于""非临床高度拟诊""VTE""的患者""(c)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,VTE-4-1-2选择代码表
110,VTE-4-1-2-1,其他DVT临床高度可疑患者的识别检查项目,字符串,参考备注,"例:""填写文字说明""","是否需要三级预防深静脉栓塞(VTE-3-3-0)等于""否""(n)时无需填写;","是否进行预防效果评估(VTE-3-4-3)等于""否""(n)时无需填写;","预防效果评估及相关不良事件(VTE-3-4-4)等于""无症状性VTE的发生""(a)时无需填写;","预防效果评估及相关不良事件(VTE-3-4-4)等于""与预防相关的不良事件""(d)时无需填写;","预防效果评估及相关不良事件(VTE-3-4-4)等于""与预防不相关的不良事件""(e)时无需填写;","预防效果评估及相关不良事件(VTE-3-4-4)等于""其他""(oth)时无需填写;","是否为临床高度拟诊""VTE""的患者(VTE-4-1-1)等于""非临床高度拟诊""VTE""的患者""(c)时无需填写;","DVT临床高度可疑患者的识别检查项目(VTE-4-1-2)等于""其他识别方法""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过10个字说明,
111,VTE-4-1-3,急性PTE临床高度可疑患者的识别检查项目,数组,参考备注,"例:[""a"",""b""]","是否需要三级预防深静脉栓塞(VTE-3-3-0)等于""否""(n)时无需填写;","是否进行预防效果评估(VTE-3-4-3)等于""否""(n)时无需填写;","预防效果评估及相关不良事件(VTE-3-4-4)等于""无症状性VTE的发生""(a)时无需填写;","预防效果评估及相关不良事件(VTE-3-4-4)等于""与预防相关的不良事件""(d)时无需填写;","预防效果评估及相关不良事件(VTE-3-4-4)等于""与预防不相关的不良事件""(e)时无需填写;","预防效果评估及相关不良事件(VTE-3-4-4)等于""其他""(oth)时无需填写;","是否为临床高度拟诊""VTE""的患者(VTE-4-1-1)等于""急性PTE临床高度可疑患者""(b)时必填;","是否为临床高度拟诊""VTE""的患者(VTE-4-1-1)等于""非临床高度拟诊""VTE""的患者""(c)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,VTE-4-1-3选择代码表
112,VTE-4-1-3-1,其他急性PTE临床高度可疑患者的识别检查项目,字符串,参考备注,"例:""填写文字说明""","是否需要三级预防深静脉栓塞(VTE-3-3-0)等于""否""(n)时无需填写;","是否进行预防效果评估(VTE-3-4-3)等于""否""(n)时无需填写;","预防效果评估及相关不良事件(VTE-3-4-4)等于""无症状性VTE的发生""(a)时无需填写;","预防效果评估及相关不良事件(VTE-3-4-4)等于""与预防相关的不良事件""(d)时无需填写;","预防效果评估及相关不良事件(VTE-3-4-4)等于""与预防不相关的不良事件""(e)时无需填写;","预防效果评估及相关不良事件(VTE-3-4-4)等于""其他""(oth)时无需填写;","是否为临床高度拟诊""VTE""的患者(VTE-4-1-1)等于""非临床高度拟诊""VTE""的患者""(c)时无需填写;","急性PTE临床高度可疑患者的识别检查项目(VTE-4-1-3)等于""其他识别方法""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过10个字说明,
113,VTE-4-1-4,出现首个VTE的临床表现时间,字符串,参考备注,"例:""1970-01-01 12:00""","是否需要三级预防深静脉栓塞(VTE-3-3-0)等于""否""(n)时无需填写;","是否进行预防效果评估(VTE-3-4-3)等于""否""(n)时无需填写;","预防效果评估及相关不良事件(VTE-3-4-4)等于""无症状性VTE的发生""(a)时无需填写;","预防效果评估及相关不良事件(VTE-3-4-4)等于""与预防相关的不良事件""(d)时无需填写;","预防效果评估及相关不良事件(VTE-3-4-4)等于""与预防不相关的不良事件""(e)时无需填写;","预防效果评估及相关不良事件(VTE-3-4-4)等于""其他""(oth)时无需填写;","是否为临床高度拟诊""VTE""的患者(VTE-4-1-1)等于""非临床高度拟诊""VTE""的患者""(c)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,,,
114,VTE-4-2-1,是否经MDT制定VTE 针对性紧急处理方案,字符串,参考备注,"例:""y""","是否需要三级预防深静脉栓塞(VTE-3-3-0)等于""否""(n)时无需填写;","是否进行预防效果评估(VTE-3-4-3)等于""否""(n)时无需填写;","预防效果评估及相关不良事件(VTE-3-4-4)等于""无症状性VTE的发生""(a)时无需填写;","预防效果评估及相关不良事件(VTE-3-4-4)等于""与预防相关的不良事件""(d)时无需填写;","预防效果评估及相关不良事件(VTE-3-4-4)等于""与预防不相关的不良事件""(e)时无需填写;","预防效果评估及相关不良事件(VTE-3-4-4)等于""其他""(oth)时无需填写;","是否为临床高度拟诊""VTE""的患者(VTE-4-1-1)等于""非临床高度拟诊""VTE""的患者""(c)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,VTE-4-2-1选择代码表,
115,VTE-4-2-2,"临床高度可疑为VTE后,针对性紧急处理的方法",数组,参考备注,"例:[""a"",""b""]","是否需要三级预防深静脉栓塞(VTE-3-3-0)等于""否""(n)时无需填写;","是否进行预防效果评估(VTE-3-4-3)等于""否""(n)时无需填写;","预防效果评估及相关不良事件(VTE-3-4-4)等于""无症状性VTE的发生""(a)时无需填写;","预防效果评估及相关不良事件(VTE-3-4-4)等于""与预防相关的不良事件""(d)时无需填写;","预防效果评估及相关不良事件(VTE-3-4-4)等于""与预防不相关的不良事件""(e)时无需填写;","预防效果评估及相关不良事件(VTE-3-4-4)等于""其他""(oth)时无需填写;","是否为临床高度拟诊""VTE""的患者(VTE-4-1-1)等于""非临床高度拟诊""VTE""的患者""(c)时无需填写;","是否经MDT制定VTE 针对性紧急处理方案(VTE-4-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,VTE-4-2-2选择代码表
116,VTE-4-2-2-1,"其他临床高度可疑为VTE后,针对性紧急处理的方法",字符串,参考备注,"例:""填写文字说明""","是否需要三级预防深静脉栓塞(VTE-3-3-0)等于""否""(n)时无需填写;","是否进行预防效果评估(VTE-3-4-3)等于""否""(n)时无需填写;","预防效果评估及相关不良事件(VTE-3-4-4)等于""无症状性VTE的发生""(a)时无需填写;","预防效果评估及相关不良事件(VTE-3-4-4)等于""与预防相关的不良事件""(d)时无需填写;","预防效果评估及相关不良事件(VTE-3-4-4)等于""与预防不相关的不良事件""(e)时无需填写;","预防效果评估及相关不良事件(VTE-3-4-4)等于""其他""(oth)时无需填写;","是否为临床高度拟诊""VTE""的患者(VTE-4-1-1)等于""非临床高度拟诊""VTE""的患者""(c)时无需填写;","临床高度可疑为VTE后,针对性紧急处理的方法(VTE-4-2-2)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,
117,VTE-4-5-1,抗凝重叠治疗医嘱的执行起始的时间选择,数组,参考备注,"例:[""a"",""b""]","是否需要三级预防深静脉栓塞(VTE-3-3-0)等于""否""(n)时无需填写;","是否进行预防效果评估(VTE-3-4-3)等于""否""(n)时无需填写;","预防效果评估及相关不良事件(VTE-3-4-4)等于""无症状性VTE的发生""(a)时无需填写;","预防效果评估及相关不良事件(VTE-3-4-4)等于""与预防相关的不良事件""(d)时无需填写;","预防效果评估及相关不良事件(VTE-3-4-4)等于""与预防不相关的不良事件""(e)时无需填写;","预防效果评估及相关不良事件(VTE-3-4-4)等于""其他""(oth)时无需填写;","是否为临床高度拟诊""VTE""的患者(VTE-4-1-1)等于""非临床高度拟诊""VTE""的患者""(c)时无需填写;","临床高度可疑为VTE后,针对性紧急处理的方法(VTE-4-2-2)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,VTE-4-5-1选择代码表
118,VTE-4-5-1-a,溶栓剂（rt-PA+尿激酶）治疗医嘱的执行起始的时间,字符串,参考备注,"例:""1970-01-01 12:00:00""","是否需要三级预防深静脉栓塞(VTE-3-3-0)等于""否""(n)时无需填写;","是否进行预防效果评估(VTE-3-4-3)等于""否""(n)时无需填写;","预防效果评估及相关不良事件(VTE-3-4-4)等于""无症状性VTE的发生""(a)时无需填写;","预防效果评估及相关不良事件(VTE-3-4-4)等于""与预防相关的不良事件""(d)时无需填写;","预防效果评估及相关不良事件(VTE-3-4-4)等于""与预防不相关的不良事件""(e)时无需填写;","预防效果评估及相关不良事件(VTE-3-4-4)等于""其他""(oth)时无需填写;","是否为临床高度拟诊""VTE""的患者(VTE-4-1-1)等于""非临床高度拟诊""VTE""的患者""(c)时无需填写;","临床高度可疑为VTE后,针对性紧急处理的方法(VTE-4-2-2)等于""无法确定或无记录""(UTD)时无需填写;","抗凝重叠治疗医嘱的执行起始的时间选择(VTE-4-5-1)等于""溶栓剂（rt-PA+尿激酶）治疗医嘱的执行起始的时间""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,
119,VTE-4-5-1-b,溶栓剂（rt-PA使用普通肝素（UFH）治疗医嘱的执行起始的时间+尿激酶）治疗医嘱的执行起始的时间,字符串,参考备注,"例:""1970-01-01 12:00:00""","是否需要三级预防深静脉栓塞(VTE-3-3-0)等于""否""(n)时无需填写;","是否进行预防效果评估(VTE-3-4-3)等于""否""(n)时无需填写;","预防效果评估及相关不良事件(VTE-3-4-4)等于""无症状性VTE的发生""(a)时无需填写;","预防效果评估及相关不良事件(VTE-3-4-4)等于""与预防相关的不良事件""(d)时无需填写;","预防效果评估及相关不良事件(VTE-3-4-4)等于""与预防不相关的不良事件""(e)时无需填写;","预防效果评估及相关不良事件(VTE-3-4-4)等于""其他""(oth)时无需填写;","是否为临床高度拟诊""VTE""的患者(VTE-4-1-1)等于""非临床高度拟诊""VTE""的患者""(c)时无需填写;","临床高度可疑为VTE后,针对性紧急处理的方法(VTE-4-2-2)等于""无法确定或无记录""(UTD)时无需填写;","抗凝重叠治疗医嘱的执行起始的时间选择(VTE-4-5-1)等于""使用普通肝素（UFH）治疗医嘱的执行起始的时间""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,
120,VTE-4-5-1-c,低分子肝素钙（LMWH）治疗医嘱的执行起始的时间,字符串,参考备注,"例:""1970-01-01 12:00:00""","是否需要三级预防深静脉栓塞(VTE-3-3-0)等于""否""(n)时无需填写;","是否进行预防效果评估(VTE-3-4-3)等于""否""(n)时无需填写;","预防效果评估及相关不良事件(VTE-3-4-4)等于""无症状性VTE的发生""(a)时无需填写;","预防效果评估及相关不良事件(VTE-3-4-4)等于""与预防相关的不良事件""(d)时无需填写;","预防效果评估及相关不良事件(VTE-3-4-4)等于""与预防不相关的不良事件""(e)时无需填写;","预防效果评估及相关不良事件(VTE-3-4-4)等于""其他""(oth)时无需填写;","是否为临床高度拟诊""VTE""的患者(VTE-4-1-1)等于""非临床高度拟诊""VTE""的患者""(c)时无需填写;","临床高度可疑为VTE后,针对性紧急处理的方法(VTE-4-2-2)等于""无法确定或无记录""(UTD)时无需填写;","抗凝重叠治疗医嘱的执行起始的时间选择(VTE-4-5-1)等于""低分子肝素钙（LMWH）治疗医嘱的执行起始的时间""(c)时必填;",若该字段无相应取值，则接口中不必提交该字段,
121,VTE-4-5-1-d,维生素K拮抗剂（VKA）治疗医嘱的执行起始的时间,字符串,参考备注,"例:""1970-01-01 12:00:00""","是否需要三级预防深静脉栓塞(VTE-3-3-0)等于""否""(n)时无需填写;","是否进行预防效果评估(VTE-3-4-3)等于""否""(n)时无需填写;","预防效果评估及相关不良事件(VTE-3-4-4)等于""无症状性VTE的发生""(a)时无需填写;","预防效果评估及相关不良事件(VTE-3-4-4)等于""与预防相关的不良事件""(d)时无需填写;","预防效果评估及相关不良事件(VTE-3-4-4)等于""与预防不相关的不良事件""(e)时无需填写;","预防效果评估及相关不良事件(VTE-3-4-4)等于""其他""(oth)时无需填写;","是否为临床高度拟诊""VTE""的患者(VTE-4-1-1)等于""非临床高度拟诊""VTE""的患者""(c)时无需填写;","临床高度可疑为VTE后,针对性紧急处理的方法(VTE-4-2-2)等于""无法确定或无记录""(UTD)时无需填写;","抗凝重叠治疗医嘱的执行起始的时间选择(VTE-4-5-1)等于""维生素K拮抗剂（VKA）治疗医嘱的执行起始的时间""(d)时必填;",若该字段无相应取值，则接口中不必提交该字段,
122,VTE-4-5-1-e,华法林（Warfarin）治疗医嘱的执行起始的时间,字符串,参考备注,"例:""1970-01-01 12:00:00""","是否需要三级预防深静脉栓塞(VTE-3-3-0)等于""否""(n)时无需填写;","是否进行预防效果评估(VTE-3-4-3)等于""否""(n)时无需填写;","预防效果评估及相关不良事件(VTE-3-4-4)等于""无症状性VTE的发生""(a)时无需填写;","预防效果评估及相关不良事件(VTE-3-4-4)等于""与预防相关的不良事件""(d)时无需填写;","预防效果评估及相关不良事件(VTE-3-4-4)等于""与预防不相关的不良事件""(e)时无需填写;","预防效果评估及相关不良事件(VTE-3-4-4)等于""其他""(oth)时无需填写;","是否为临床高度拟诊""VTE""的患者(VTE-4-1-1)等于""非临床高度拟诊""VTE""的患者""(c)时无需填写;","临床高度可疑为VTE后,针对性紧急处理的方法(VTE-4-2-2)等于""无法确定或无记录""(UTD)时无需填写;","抗凝重叠治疗医嘱的执行起始的时间选择(VTE-4-5-1)等于""华法林（Warfarin）治疗医嘱的执行起始的时间""(e)时必填;",若该字段无相应取值，则接口中不必提交该字段,
123,VTE-4-5-1-f,其他抗凝剂治疗医嘱的执行起始的时间,字符串,参考备注,"例:""1970-01-01 12:00:00""","是否需要三级预防深静脉栓塞(VTE-3-3-0)等于""否""(n)时无需填写;","是否进行预防效果评估(VTE-3-4-3)等于""否""(n)时无需填写;","预防效果评估及相关不良事件(VTE-3-4-4)等于""无症状性VTE的发生""(a)时无需填写;","预防效果评估及相关不良事件(VTE-3-4-4)等于""与预防相关的不良事件""(d)时无需填写;","预防效果评估及相关不良事件(VTE-3-4-4)等于""与预防不相关的不良事件""(e)时无需填写;","预防效果评估及相关不良事件(VTE-3-4-4)等于""其他""(oth)时无需填写;","是否为临床高度拟诊""VTE""的患者(VTE-4-1-1)等于""非临床高度拟诊""VTE""的患者""(c)时无需填写;","临床高度可疑为VTE后,针对性紧急处理的方法(VTE-4-2-2)等于""无法确定或无记录""(UTD)时无需填写;","抗凝重叠治疗医嘱的执行起始的时间选择(VTE-4-5-1)等于""其他抗凝剂治疗医嘱的执行起始的时间""(f)时必填;",若该字段无相应取值，则接口中不必提交该字段,
124,VTE-4-6-1,放置静脉滤器（IVCF）预防PTE的执行起始的时间,字符串,参考备注,"例:""1970-01-01 12:00""","是否需要三级预防深静脉栓塞(VTE-3-3-0)等于""否""(n)时无需填写;","是否进行预防效果评估(VTE-3-4-3)等于""否""(n)时无需填写;","预防效果评估及相关不良事件(VTE-3-4-4)等于""无症状性VTE的发生""(a)时无需填写;","预防效果评估及相关不良事件(VTE-3-4-4)等于""与预防相关的不良事件""(d)时无需填写;","预防效果评估及相关不良事件(VTE-3-4-4)等于""与预防不相关的不良事件""(e)时无需填写;","预防效果评估及相关不良事件(VTE-3-4-4)等于""其他""(oth)时无需填写;","是否为临床高度拟诊""VTE""的患者(VTE-4-1-1)等于""非临床高度拟诊""VTE""的患者""(c)时无需填写;","临床高度可疑为VTE后,针对性紧急处理的方法(VTE-4-2-2)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,,
125,VTE-4-6-2,放置静脉滤器（IVCF）预防PTE的术式,字符串,参考备注,"例:""a""","是否需要三级预防深静脉栓塞(VTE-3-3-0)等于""否""(n)时无需填写;","是否进行预防效果评估(VTE-3-4-3)等于""否""(n)时无需填写;","预防效果评估及相关不良事件(VTE-3-4-4)等于""无症状性VTE的发生""(a)时无需填写;","预防效果评估及相关不良事件(VTE-3-4-4)等于""与预防相关的不良事件""(d)时无需填写;","预防效果评估及相关不良事件(VTE-3-4-4)等于""与预防不相关的不良事件""(e)时无需填写;","预防效果评估及相关不良事件(VTE-3-4-4)等于""其他""(oth)时无需填写;","是否为临床高度拟诊""VTE""的患者(VTE-4-1-1)等于""非临床高度拟诊""VTE""的患者""(c)时无需填写;","临床高度可疑为VTE后,针对性紧急处理的方法(VTE-4-2-2)等于""无法确定或无记录""(UTD)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,VTE-4-6-2选择代码表
126,CM-4-3,离院方式选择,字符串,是,"例:""a""",见,CM-4-3选择代码表,,,,,,,,,
127,CM-4-5,非医嘱离院可能涉及因素,数组,参考备注,"例:[""a"",""b""]","离院方式选择(CM-4-3)等于""非医嘱离院""(d)时可填写;",若该字段无相应取值，则接口中不必提交该字段,见,CM-4-5选择代码表,,,,,,,
128,CM-4-4-1,其他非医嘱离院因素填写,字符串,参考备注,"例:""填写文字说明""","非医嘱离院可能涉及因素(CM-4-5)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,,,,,,
129,CM-4-6,死亡可能涉及因素,字符串,参考备注,"例:""a""","离院方式选择(CM-4-3)等于""死亡""(e)时可填写;",若该字段无相应取值，则接口中不必提交该字段,见,CM-4-6选择代码表,,,,,,,
130,CM-5-1,患者是否对服务的体验与评价,字符串,是,"例:""y""",见,CM-5-1选择代码表,,,,,,,,,
131,CM-5-2-1,整体医院评级,字符串,参考备注,"例:""a""","患者是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-1选择代码表,,,,,,,
132,CM-5-2-2,患者推荐,字符串,参考备注,"例:""a""","患者是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-2选择代码表,,,,,,,
133,CM-5-2-3,病房、床单元和卫生间清洁度,字符串,参考备注,"例:""a""","患者是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-3选择代码表,,,,,,,
134,CM-5-2-5,病房与周边噪音,字符串,参考备注,"例:""a""","患者是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-5选择代码表,,,,,,,
135,CM-5-2-6,医生沟通,字符串,参考备注,"例:""a""","患者是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-6选择代码表,,,,,,,
136,CM-5-2-7,护士沟通,字符串,参考备注,"例:""a""","患者是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-7选择代码表,,,,,,,
137,CM-5-2-8,药师沟通,字符串,参考备注,"例:""a""","患者是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-8选择代码表,,,,,,,
138,CM-5-2-9,康复计划,字符串,参考备注,"例:""a""","患者是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-9选择代码表,,,,,,,
139,CM-5-2-10,出院时的知情告知,字符串,参考备注,"例:""a""","患者是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-10选择代码表,,,,,,,
140,CM-5-2-11,膳食评价,字符串,参考备注,"例:""a""","患者是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-11选择代码表,,,,,,,
141,CM-6-1,住院总费用,数值,是,例:10,住院总费用要大于0;,住院总费用要小于1000000;,住院总费用应大于等于各项费用之和,,,,,,,,
142,CM-6-2,住院总费用其中自付金额,数值,是,例:10,自付金额要,自付金额应≤住院总费用,,,,,,,,,
143,CM-6-3,一般医疗服务费,数值,是,例:10,一般医疗服务费要,,,,,,,,,,
144,CM-6-4,一般治疗操作费,数值,是,例:10,一般治疗操作费要,,,,,,,,,,
145,CM-6-5,护理费,数值,是,例:10,护理费要,,,,,,,,,,
146,CM-6-6,综合医疗服务类其他费用,数值,是,例:10,综合医疗服务类其他费用要≥0,,,,,,,,,,
147,CM-6-7,病理诊断费,数值,是,例:10,病理诊断费要≥0,,,,,,,,,,
148,CM-6-8,实验室诊断费,数值,是,例:10,实验室诊断费要≥0,,,,,,,,,,
149,CM-6-9,影像学诊断费,数值,是,例:10,影像学诊断费要≥0,,,,,,,,,,
150,CM-6-10,临床诊断项目费,数值,是,例:10,临床诊断项目费要≥0,,,,,,,,,,
151,CM-6-11,非手术治疗项目费,数值,是,例:10,非手术治疗项目费要≥0,,,,,,,,,,
152,CM-6-12,其中：临床物理治疗费,数值,是,例:10,临床物理治疗费要≥0,,,,,,,,,,
153,CM-6-13,手术治疗费,数值,是,例:10,手术治疗费要≥0,,,,,,,,,,
154,CM-6-14,其中：麻醉费,数值,是,例:10,麻醉费要≥0,,,,,,,,,,
155,CM-6-15,其中：手术费,数值,是,例:10,手术费要≥0,,,,,,,,,,
156,CM-6-16,康复费,数值,是,例:10,康复费要≥0,,,,,,,,,,
157,CM-6-17,中医治疗费,数值,是,例:10,中医治疗费要≥0,,,,,,,,,,
158,CM-6-18,西药费,数值,是,例:10,西药费要≥0,,,,,,,,,,
159,CM-6-19,其中：抗菌药物费,数值,是,例:10,抗菌药物费要≥0,,,,,,,,,,
160,CM-6-20,中成药费,数值,是,例:10,中成药费要≥0,,,,,,,,,,
161,CM-6-21,中草药费,数值,是,例:10,中草药费要≥0,,,,,,,,,,
162,CM-6-22,血费,数值,是,例:10,血费要≥0,,,,,,,,,,
163,CM-6-23,白蛋白类制品费,数值,是,例:10,白蛋白类制品费要≥0,,,,,,,,,,
164,CM-6-24,球蛋白类制品费,数值,是,例:10,球蛋白类制品费要≥0,,,,,,,,,,
165,CM-6-25,凝血因子类制品费,数值,是,例:10,凝血因子类制品费要≥0,,,,,,,,,,
166,CM-6-26,细胞因子类制品费,数值,是,例:10,细胞因子类制品费要≥0,,,,,,,,,,
167,CM-6-27,检查用一次性医用材料费,数值,是,例:10,检查用一次性医用材料费要≥0,,,,,,,,,,
168,CM-6-28,治疗用一次性医用材料费,数值,是,例:10,治疗用一次性医用材料费要≥0,,,,,,,,,,
169,CM-6-29,手术用一次性医用材料费,数值,是,例:10,手术用一次性医用材料费要≥0,,,,,,,,,,
,CM-6-30,其他费,数值,是,例:10,其他费要≥0,,,,,,,,,,
