序号,字段名称,数据采集项,数据类型,上传时不能为空,举例,备注,序号,序号,,,
105,Cap-6-2-6-1,其他类抗菌药,字符串,参考备注,"例:""填写文字说明""","其他类抗感染药物(Cap-6-2-6)等于""其他抗菌药""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,,
106,Cap-6-2-7,神经氨酸抑制剂,字符串,参考备注,"例:""a""","抗感染治疗药物选择(Cap-6-2-2)等于""神经氨酸抑制剂""(f)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-6-2-7选择代码表,,
107,Cap-6-2-7-1,神经氨酸抑制剂,字符串,参考备注,"例:""填写文字说明""","神经氨酸抑制剂(Cap-6-2-7)等于""其它神经氨酸抑制剂""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,,
108,Cap-7-1-1,是否使用氧疗与呼吸支持治疗,字符串,参考备注,"例:""y""","患儿有无接受抗菌药物治疗(Cap-4-0)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-7-1-1选择代码表,,
109,Cap-7-2-1,是否使用普通氧疗,字符串,参考备注,"例:""y""","是否使用氧疗与呼吸支持治疗(Cap-7-1-1)等于""是""(y)时可填写;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-7-2-1选择代码表,,
110,Cap-7-2-2,普通氧疗指征,数组,参考备注,"例:[""a"",""b""]","是否使用普通氧疗(Cap-7-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-7-2-2选择代码表,,
111,Cap-7-2-5,给予氧疗医嘱,数组,参考备注,"例:[""a"",""b""]","是否使用普通氧疗(Cap-7-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-7-2-5选择代码表,,
112,Cap-7-2-6,普通氧疗起始日期与时间,字符串,参考备注,"例:""1970-01-01 12:00""","是否使用普通氧疗(Cap-7-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,
113,Cap-7-2-7,普通氧疗终止日期与时间,字符串,参考备注,"例:""1970-01-01 12:00""","是否使用普通氧疗(Cap-7-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,普通氧疗终止日期与时间应大于等于普通氧疗起始日期与时间;,普通氧疗终止日期与时间应小于出院日期时间,,
114,Cap-7-2-8,使用普通氧疗治疗天数,数值,否,例:10,"是否使用普通氧疗(Cap-7-2-1)等于""是""(y)时可填写;","日期差值计算公式:普通氧疗终止日期与时间(Cap-7-2-7)-普通氧疗起始日期与时间(Cap-7-2-6),单位:天数",,,,
115,Cap-7-3-1,是否使用无创通气,字符串,参考备注,"例:""UTD""","是否使用氧疗与呼吸支持治疗(Cap-7-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,默认初始化值:UTD见,Cap-7-3-1选择代码表,,
116,Cap-7-3-2,无创通气指征,数组,参考备注,"例:[""a"",""b""]","是否使用无创通气(Cap-7-3-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-7-3-2选择代码表,,
117,Cap-7-3-3,无创通气治疗起始日期与时间,字符串,参考备注,"例:""1970-01-01 12:00""","是否使用无创通气(Cap-7-3-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,
118,Cap-7-3-4,无创通气治疗终止日期与时间,字符串,参考备注,"例:""1970-01-01 12:00""","是否使用无创通气(Cap-7-3-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,无创通气治疗终止日期与时间应大于等于无创通气治疗起始日期与时间;,无创通气治疗终止日期与时间应小于出院日期时间,,
119,Cap-7-3-5,使用无创通气治疗小时数,数值,否,例:10,"是否使用无创通气(Cap-7-3-1)等于""是""(y)时可填写;","日期差值计算公式:无创通气治疗终止日期与时间(Cap-7-3-4)-无创通气治疗起始日期与时间(Cap-7-3-3),单位:小时",,,,
120,Cap-7-4-1,是否使用有创机械通气,字符串,参考备注,"例:""UTD""","是否使用氧疗与呼吸支持治疗(Cap-7-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,默认初始化值:UTD见,Cap-7-4-1选择代码表,,
121,Cap-7-4-2,机械通气指征,数组,参考备注,"例:[""a"",""b""]","是否使用有创机械通气(Cap-7-4-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-7-4-2选择代码表,,
122,Cap-7-4-3,有创机械通气治疗起始日期与时间,字符串,参考备注,"例:""1970-01-01 12:00""","是否使用有创机械通气(Cap-7-4-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,
123,Cap-7-4-4,有创机械通气治疗终止日期与时间,字符串,参考备注,"例:""1970-01-01 12:00""","是否使用有创机械通气(Cap-7-4-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,有创机械通气治疗终止日期与时间应大于等于有创机械通气治疗起始日期与时间;,有创机械通气治疗终止日期与时间应小于出院日期时间,,
124,Cap-7-4-5,使用有创机械通气治疗小时数,数值,否,例:10,"是否使用有创机械通气(Cap-7-4-1)等于""是""(y)时可填写;","日期差值计算公式:有创机械通气治疗终止日期与时间(Cap-7-4-4)-有创机械通气治疗起始日期与时间(Cap-7-4-3),单位:小时",,,,
125,Cap-7-5-1,是否使用体外膜肺,字符串,参考备注,"例:""UTD""","是否使用氧疗与呼吸支持治疗(Cap-7-1-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,默认初始化值:UTD见,Cap-7-5-1选择代码表,,
126,Cap-7-5-2,ECMO指征,数组,参考备注,"例:[""a"",""b""]","是否使用体外膜肺(Cap-7-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-7-5-2选择代码表,,
127,Cap-7-5-3,体外膜肺治疗起始日期与时间,字符串,参考备注,"例:""1970-01-01 12:00""","是否使用体外膜肺(Cap-7-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,
128,Cap-7-5-4,体外膜肺治疗终止日期与时间,字符串,参考备注,"例:""1970-01-01 12:00""","是否使用体外膜肺(Cap-7-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,体外膜肺治疗终止日期与时间应大于等于体外膜肺治疗起始日期与时间;,体外膜肺治疗终止日期与时间应小于出院日期时间,,
129,Cap-7-5-5,使用体外膜肺治疗小时数,数值,否,例:10,"是否使用体外膜肺(Cap-7-5-1)等于""是""(y)时可填写;","日期差值计算公式:体外膜肺治疗终止日期与时间(Cap-7-5-4)-体外膜肺治疗起始日期与时间(Cap-7-5-3),单位:小时",,,,
130,CM-7-2-1,交与患儿/患儿家长“出院小结”的副本告知出院时风险因素,数组,否,"例:[""a"",""b""]",若该字段无相应取值，则接口中不必提交该字段,见,CM-7-2-1选择代码表,,,
131,CM-7-2-2,出院带药,数组,否,"例:[""a"",""b""]",若该字段无相应取值，则接口中不必提交该字段,见,CM-7-2-2选择代码表,,,
132,CM-7-2-3,告知何为发生紧急意外情况或者疾病复发,数组,否,"例:[""a"",""b""]",若该字段无相应取值，则接口中不必提交该字段,见,CM-7-2-3选择代码表,,,
133,CM-7-2-4,告知发生紧急意外情况或者疾病复发如何救治及前途经,数组,否,"例:[""a"",""b""]",若该字段无相应取值，则接口中不必提交该字段,见,CM-7-2-4选择代码表,,,
134,CM-7-2-5,出院时教育与随访,数组,否,"例:[""a"",""b""]",若该字段无相应取值，则接口中不必提交该字段,见,CM-7-2-5选择代码表,,,
135,Cap-9-1-1-1,"经有效治疗后，患儿病情明显好转,可以出院",数组,是,"例:[""a"",""b""]",见,Cap-9-1-1-1选择代码表,,,,
136,Cap-9-1-1-2,其他出院评估,字符串,参考备注,"例:""填写文字说明""","经有效治疗后，患儿病情明显好转,可以出院(Cap-9-1-1-1)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过50个字说明,,,
137,Cap-9-2-1,出院前末次氧合评估,字符串,是,"例:""y""",见,Cap-9-2-1选择代码表,,,,
138,Cap-9-2-2,末次氧合评估项目,字符串,参考备注,"例:""a""","出院前末次氧合评估(Cap-9-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-9-2-2选择代码表,,
139,Cap-9-2-2-1,末次检测脉搏血氧饱和度测定值(%),数值,参考备注,例:10,"末次氧合评估项目(Cap-9-2-2)等于""末次检测脉搏血氧饱和度测定值%""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,填写范围(0~100);,填写范围(0~100),,
140,Cap-9-2-2-4,末次检测脉搏血氧饱和度测定值是否在正常范围,字符串,参考备注,"例:""y""","末次氧合评估项目(Cap-9-2-2)等于""末次检测脉搏血氧饱和度测定值%""(b)时可填写;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-9-2-2-4选择代码表,,
141,Cap-9-2-2-2,末次检测动脉血气分析测定值mmHg(mmHg),数值,参考备注,例:10,"末次氧合评估项目(Cap-9-2-2)等于""末次检测动脉血气分析测定值mmHg""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,填写范围(0~150)mmHg;,填写范围(0~150)mmHg,,
142,Cap-9-2-2-3,末次检测动脉血气分析测定值是否在正常范围,字符串,参考备注,"例:""y""","末次氧合评估项目(Cap-9-2-2)等于""末次检测动脉血气分析测定值mmHg""(a)时可填写;",若该字段无相应取值，则接口中不必提交该字段,见,Cap-9-2-2-3选择代码表,,
143,CM-4-3,离院方式选择,字符串,是,"例:""a""",见,CM-4-3选择代码表,,,,
144,CM-4-5,非医嘱离院可能涉及因素,数组,参考备注,"例:[""a"",""b""]","离院方式选择(CM-4-3)等于""非医嘱离院""(d)时可填写;",若该字段无相应取值，则接口中不必提交该字段,见,CM-4-5选择代码表,,
145,CM-4-4-1,其他非医嘱离院因素填写,字符串,参考备注,"例:""填写文字说明""","非医嘱离院可能涉及因素(CM-4-5)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,
146,CM-4-6,死亡可能涉及因素,字符串,参考备注,"例:""a""","离院方式选择(CM-4-3)等于""死亡""(e)时可填写;",若该字段无相应取值，则接口中不必提交该字段,见,CM-4-6选择代码表,,
147,CM-5-1,患儿家长对服务的体验与评价,字符串,是,"例:""y""",见,CM-5-1选择代码表,,,,
148,CM-5-2-1,整体医院评级,字符串,参考备注,"例:""a""","患儿家长对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-1选择代码表,,
149,CM-5-2-2,患者推荐,字符串,参考备注,"例:""a""","患儿家长对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-2选择代码表,,
150,CM-5-2-3,病房、床单元和卫生间清洁度,字符串,参考备注,"例:""a""","患儿家长对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-3选择代码表,,
151,CM-5-2-5,病房与周边噪音,字符串,参考备注,"例:""a""","患儿家长对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-5选择代码表,,
152,CM-5-2-6,医生沟通,字符串,参考备注,"例:""a""","患儿家长对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-6选择代码表,,
153,CM-5-2-7,护士沟通,字符串,参考备注,"例:""a""","患儿家长对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-7选择代码表,,
154,CM-5-2-8,药师沟通,字符串,参考备注,"例:""a""","患儿家长对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-8选择代码表,,
155,CM-5-2-9,康复计划,字符串,参考备注,"例:""a""","患儿家长对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-9选择代码表,,
156,CM-5-2-10,出院时的知情告知,字符串,参考备注,"例:""a""","患儿家长对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-10选择代码表,,
157,CM-5-2-11,膳食评价,字符串,参考备注,"例:""a""","患儿家长对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-11选择代码表,,
158,Cap-11-1-1,患儿接受首剂抗菌药物治疗注射剂输入/注射日期时间,字符串,参考备注,"例:""1970-01-01 12:00""","患儿有无接受抗菌药物治疗(Cap-4-0)等于""是""(y)时必填;","使用首剂抗菌药物治疗途径(Cap-4-1-4)等于""口服""(d)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,患儿接受首剂抗菌药物治疗注射剂输入日期时间应大于入院日期时间,,
159,Cap-11-1-2,患儿接受末剂抗菌药物治疗注射剂输入/注射日期时间,字符串,参考备注,"例:""1970-01-01 12:00""","患儿有无接受抗菌药物治疗(Cap-4-0)等于""是""(y)时必填;","使用首剂抗菌药物治疗途径(Cap-4-1-4)等于""口服""(d)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,患儿接受未剂抗菌药物治疗注射剂输入日期时间应大于等于首剂抗菌药物治疗注射剂输入日期时间;,患儿接受未剂抗菌药物治疗注射剂输入日期时间应小于出院日期时间,
160,Cap-11-1-3,注射剂输入/注射抗菌药物疗程（天数）,数值,否,例:10,"患儿有无接受抗菌药物治疗(Cap-4-0)等于""是""(y)时可填写;","使用首剂抗菌药物治疗途径(Cap-4-1-4)等于""口服""(d)时无需填写;","日期差值计算公式:患儿接受末剂抗菌药物治疗注射剂输入/注射日期时间(Cap-11-1-2)-患儿接受首剂抗菌药物治疗注射剂输入/注射日期时间(Cap-11-1-1),单位:天数",,,
161,Cap-11-2-1,是否抗菌药物注射剂改口服,字符串,参考备注,"例:""UTD""","患儿有无接受抗菌药物治疗(Cap-4-0)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,默认初始化值:UTD见,Cap-11-2-1选择代码表,,
162,Cap-11-2-2,改用抗菌药物口服剂首剂日期与时间,字符串,参考备注,"例:""1970-01-01 12:00""","是否抗菌药物注射剂改口服(Cap-11-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,
163,Cap-11-2-3,末剂抗菌药物口服剂或出院日期与时间,字符串,参考备注,"例:""1970-01-01 12:00""","是否抗菌药物注射剂改口服(Cap-11-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,末剂抗菌药物口服剂或出院日期与时间应大于等于改用抗菌药物口服剂首剂日期与时间,,,
164,Cap-11-2-4,口服剂抗菌药物疗程（天数）,数值,否,例:10,"是否抗菌药物注射剂改口服(Cap-11-2-1)等于""是""(y)时可填写;","日期差值计算公式:末剂抗菌药物口服剂或出院日期与时间(Cap-11-2-3)-改用抗菌药物口服剂首剂日期与时间(Cap-11-2-2),单位:天数",,,,
165,CM-6-1,住院总费用,数值,是,例:10,住院总费用要大于0;,住院总费用要小于1000000;,住院总费用应大于等于各项费用之和,,,
166,CM-6-2,住院总费用其中自付金额,数值,是,例:10,自付金额要,自付金额应≤住院总费用,,,,
167,CM-6-3,一般医疗服务费,数值,是,例:10,一般医疗服务费要,,,,,
168,CM-6-4,一般治疗操作费,数值,是,例:10,一般治疗操作费要,,,,,
169,CM-6-5,护理费,数值,是,例:10,护理费要,,,,,
170,CM-6-6,综合医疗服务类其他费用,数值,是,例:10,综合医疗服务类其他费用要≥0,,,,,
171,CM-6-7,病理诊断费,数值,是,例:10,病理诊断费要≥0,,,,,
172,CM-6-8,实验室诊断费,数值,是,例:10,实验室诊断费要≥0,,,,,
173,CM-6-9,影像学诊断费,数值,是,例:10,影像学诊断费要≥0,,,,,
174,CM-6-10,临床诊断项目费,数值,是,例:10,临床诊断项目费要≥0,,,,,
175,CM-6-11,非手术治疗项目费,数值,是,例:10,非手术治疗项目费要≥0,,,,,
176,CM-6-12,其中：临床物理治疗费,数值,是,例:10,临床物理治疗费要≥0,,,,,
177,CM-6-13,手术治疗费,数值,是,例:10,手术治疗费要≥0,,,,,
178,CM-6-14,其中：麻醉费,数值,是,例:10,麻醉费要≥0,,,,,
179,CM-6-15,其中：手术费,数值,是,例:10,手术费要≥0,,,,,
180,CM-6-16,康复费,数值,是,例:10,康复费要≥0,,,,,
181,CM-6-17,中医治疗费,数值,是,例:10,中医治疗费要≥0,,,,,
182,CM-6-18,西药费,数值,是,例:10,西药费要≥0,,,,,
183,CM-6-19,其中：抗菌药物费,数值,是,例:10,抗菌药物费要≥0,,,,,
184,CM-6-20,中成药费,数值,是,例:10,中成药费要≥0,,,,,
185,CM-6-21,中草药费,数值,是,例:10,中草药费要≥0,,,,,
186,CM-6-22,血费,数值,是,例:10,血费要≥0,,,,,
187,CM-6-23,白蛋白类制品费,数值,是,例:10,白蛋白类制品费要≥0,,,,,
188,CM-6-24,球蛋白类制品费,数值,是,例:10,球蛋白类制品费要≥0,,,,,
189,CM-6-25,凝血因子类制品费,数值,是,例:10,凝血因子类制品费要≥0,,,,,
190,CM-6-26,细胞因子类制品费,数值,是,例:10,细胞因子类制品费要≥0,,,,,
191,CM-6-27,检查用一次性医用材料费,数值,是,例:10,检查用一次性医用材料费要≥0,,,,,
192,CM-6-28,治疗用一次性医用材料费,数值,是,例:10,治疗用一次性医用材料费要≥0,,,,,
193,CM-6-29,手术用一次性医用材料费,数值,是,例:10,手术用一次性医用材料费要≥0,,,,,
,CM-6-30,其他费,数值,是,例:10,其他费要≥0,,,,,
