序号,字段名称,数据采集项,数据类型,上传时不能为空,举例,备注,序号,序号,,,,,
108,CM-2-3-11,手术过程中异物遗留,字符串,参考备注,"例:""a""","治疗方式选择(DG-1-6)等于""药物治疗""(c)时无需填写;","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""手术过程中异物遗留(T81.5)""(k)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-11选择代码表,,,
109,CM-2-3-12,麻醉并发症,字符串,参考备注,"例:""a""","治疗方式选择(DG-1-6)等于""药物治疗""(c)时无需填写;","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""麻醉并发症(T88.2，T88.3，T88.4，T88.5)""(l)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-12选择代码表,,,
110,CM-2-3-13,输注、输血反应,字符串,参考备注,"例:""a""","治疗方式选择(DG-1-6)等于""药物治疗""(c)时无需填写;","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""输注、输血反应(T80.0至T80.9)""(m)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-13选择代码表,,,
111,CM-2-3-14,住院患者发生压疮,字符串,参考备注,"例:""a""","治疗方式选择(DG-1-6)等于""药物治疗""(c)时无需填写;","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""住院患者发生压疮(L89.0至L89.9)""(n)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-14选择代码表,,,
112,CM-2-3-15,产后出血,字符串,参考备注,"例:""a""","治疗方式选择(DG-1-6)等于""药物治疗""(c)时无需填写;","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""产后出血""(o)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-15选择代码表,,,
113,CM-2-3-16,产褥期感染,字符串,参考备注,"例:""a""","治疗方式选择(DG-1-6)等于""药物治疗""(c)时无需填写;","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""产褥期感染""(p)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-16选择代码表,,,
114,CM-2-3-16-1,其他产褥期感染,字符串,参考备注,"例:""填写文字说明""","治疗方式选择(DG-1-6)等于""药物治疗""(c)时无需填写;","产褥期感染(CM-2-3-16)等于""其他:有对应诊断名称与ICD-10编码""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,,
115,CM-2-3-17,产科栓塞,字符串,参考备注,"例:""a""","治疗方式选择(DG-1-6)等于""药物治疗""(c)时无需填写;","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""产科栓塞""(q)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-17选择代码表,,,
116,CM-2-3-18,胎盘和胎膜滞留不伴有出血,字符串,参考备注,"例:""a""","治疗方式选择(DG-1-6)等于""药物治疗""(c)时无需填写;","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""胎盘和胎膜滞留不伴有出血""(r)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-18选择代码表,,,
117,CM-2-3-19,产科手术伤口的感染,字符串,参考备注,"例:""a""","治疗方式选择(DG-1-6)等于""药物治疗""(c)时无需填写;","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""产科手术伤口的感染""(s)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-19选择代码表,,,
118,CM-2-3-20,产科伤口裂开,字符串,参考备注,"例:""a""","治疗方式选择(DG-1-6)等于""药物治疗""(c)时无需填写;","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""产科伤口裂开""(t)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-20选择代码表,,,
119,CM-2-3-21,其他并发症,字符串,参考备注,"例:""a""","治疗方式选择(DG-1-6)等于""药物治疗""(c)时无需填写;","手术后并发症类别及ICD-10四位亚目的选择(CM-2-2)等于""其他并发症""(u)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-3-21选择代码表,,,
120,CM-2-3-21-1,其他的其他并发症,字符串,参考备注,"例:""填写文字说明""","治疗方式选择(DG-1-6)等于""药物治疗""(c)时无需填写;","其他并发症(CM-2-3-21)等于""其他:有对应诊断名称与ICD-10编码""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,,
121,CM-2-4,影响程度的选择,字符串,参考备注,"例:""a""","治疗方式选择(DG-1-6)等于""药物治疗""(c)时无需填写;","是否有手术后并发症(CM-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-2-4选择代码表,,,
122,DG-6-1,腹腔内出血量（ml）,数值,是,例:10,,,,,,,,
123,DG-6-2-1,是否实施输血,字符串,是,"例:""y""",见,DG-6-2-1选择代码表,,,,,,
124,DG-6-2-2,是否实施回收式自体输血,字符串,参考备注,"例:""y""","是否实施输血(DG-6-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DG-6-2-2选择代码表,,,,
125,DG-6-5-1,用血类别的选择,数组,参考备注,"例:[""a"",""b""]","是否实施输血(DG-6-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DG-6-5-1选择代码表,,,,
126,DG-6-5-1-1,全血输血量（ml）,数值,参考备注,例:10,"用血类别的选择(DG-6-5-1)等于""全血""(a)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,,,
127,DG-6-5-1-2,成份血输血量（ml）,数值,参考备注,例:10,"用血类别的选择(DG-6-5-1)等于""成份血""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,,,
128,DG-6-5-1-3,血浆输血量（ml）,数值,参考备注,例:10,"用血类别的选择(DG-6-5-1)等于""血浆""(c)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,,,
129,DG-6-2-3,其中：回收式自体输血量（ml）,数值,参考备注,例:10,"是否实施回收式自体输血(DG-6-2-2)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,,,
130,DG-6-4-1,是否实施储存式自体输血,字符串,参考备注,"例:""y""","是否实施输血(DG-6-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,DG-6-4-1选择代码表,,,,
131,DG-6-4-1-1,其中：储存式自体输血量（ml）,数值,参考备注,例:10,"是否实施储存式自体输血(DG-6-4-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,,,
132,DG-7-1-1,术前：健康辅导,数组,是,"例:[""a"",""b""]",见,DG-7-1-1选择代码表,,,,,,
133,DG-7-1-2,术后：健康辅导,数组,是,"例:[""a"",""b""]",见,DG-7-1-2选择代码表,,,,,,
134,DG-7-2-1,交与患者“出院小结”的副本告知患者出院时风险因素,数组,是,"例:[""a"",""b""]",见,DG-7-2-1选择代码表,,,,,,
135,DG-7-2-2,出院带药,数组,否,"例:[""a"",""b""]",若该字段无相应取值，则接口中不必提交该字段,见,DG-7-2-2选择代码表,,,,,
136,DG-7-2-3,告知发生紧急情况时求援救治途径,数组,否,"例:[""a"",""b""]",若该字段无相应取值，则接口中不必提交该字段,见,DG-7-2-3选择代码表,,,,,
137,DG-7-2-4,出院时教育与随访,数组,是,"例:[""a"",""b""]",见,DG-7-2-4选择代码表,,,,,,
138,DG-7-2-5,告知何为风险因素与紧急情况,数组,是,"例:[""a"",""b""]",见,DG-7-2-5选择代码表,,,,,,
139,CM-3-1,手术野皮肤准备常用方法的选择,字符串,参考备注,"例:""a""","治疗方式选择(DG-1-6)等于""药物治疗""(c)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,CM-3-1选择代码表,,,,
140,CM-3-2,使用含抗菌剂（三氯生）缝线,字符串,参考备注,"例:""a""","治疗方式选择(DG-1-6)等于""药物治疗""(c)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,CM-3-2选择代码表,,,,
141,CM-3-2-1,其他含抗菌剂缝线填写,字符串,参考备注,"例:""填写文字说明""","治疗方式选择(DG-1-6)等于""药物治疗""(c)时无需填写;","使用含抗菌剂（三氯生）缝线(CM-3-2)等于""其他含抗菌剂（三氯生）缝线""(d)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,,
142,CM-3-3,手术切口类别的选择,字符串,参考备注,"例:""a""","治疗方式选择(DG-1-6)等于""药物治疗""(c)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,CM-3-3选择代码表,,,,
143,CM-3-4,手术切口愈合情况的选择,字符串,参考备注,"例:""a""","治疗方式选择(DG-1-6)等于""药物治疗""(c)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,CM-3-4选择代码表,,,,
144,CM-4-3,离院方式选择,字符串,是,"例:""a""",见,CM-4-3选择代码表,,,,,,
145,CM-4-5,非医嘱离院可能涉及因素,数组,参考备注,"例:[""a"",""b""]","离院方式选择(CM-4-3)等于""非医嘱离院""(d)时可填写;",若该字段无相应取值，则接口中不必提交该字段,见,CM-4-5选择代码表,,,,
146,CM-4-4-1,其他非医嘱离院因素填写,字符串,参考备注,"例:""填写文字说明""","非医嘱离院可能涉及因素(CM-4-5)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,,,
147,CM-4-6,死亡可能涉及因素,字符串,参考备注,"例:""a""","离院方式选择(CM-4-3)等于""死亡""(e)时可填写;",若该字段无相应取值，则接口中不必提交该字段,见,CM-4-6选择代码表,,,,
148,CM-5-1,患者是否对服务的体验与评价,字符串,是,"例:""y""",见,CM-5-1选择代码表,,,,,,
149,CM-5-2-1,整体医院评级,字符串,参考备注,"例:""a""","患者是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-1选择代码表,,,,
150,CM-5-2-2,患者推荐,字符串,参考备注,"例:""a""","患者是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-2选择代码表,,,,
151,CM-5-2-3,病房、床单元和卫生间清洁度,字符串,参考备注,"例:""a""","患者是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-3选择代码表,,,,
152,CM-5-2-5,病房与周边噪音,字符串,参考备注,"例:""a""","患者是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-5选择代码表,,,,
153,CM-5-2-6,医生沟通,字符串,参考备注,"例:""a""","患者是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-6选择代码表,,,,
154,CM-5-2-7,护士沟通,字符串,参考备注,"例:""a""","患者是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-7选择代码表,,,,
155,CM-5-2-8,药师沟通,字符串,参考备注,"例:""a""","患者是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-8选择代码表,,,,
156,CM-5-2-9,康复计划,字符串,参考备注,"例:""a""","患者是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-9选择代码表,,,,
157,CM-5-2-10,出院时的知情告知,字符串,参考备注,"例:""a""","患者是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-10选择代码表,,,,
158,CM-5-2-11,膳食评价,字符串,参考备注,"例:""a""","患者是否对服务的体验与评价(CM-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,CM-5-2-11选择代码表,,,,
159,CM-6-1,住院总费用,数值,是,例:10,住院总费用要大于0;,住院总费用要小于1000000;,住院总费用应大于等于各项费用之和,,,,,
160,CM-6-2,住院总费用其中自付金额,数值,是,例:10,自付金额要,自付金额应≤住院总费用,,,,,,
161,CM-6-3,一般医疗服务费,数值,是,例:10,一般医疗服务费要,,,,,,,
162,CM-6-4,一般治疗操作费,数值,是,例:10,一般治疗操作费要,,,,,,,
163,CM-6-5,护理费,数值,是,例:10,护理费要,,,,,,,
164,CM-6-6,综合医疗服务类其他费用,数值,是,例:10,综合医疗服务类其他费用要≥0,,,,,,,
165,CM-6-7,病理诊断费,数值,是,例:10,病理诊断费要≥0,,,,,,,
166,CM-6-8,实验室诊断费,数值,是,例:10,实验室诊断费要≥0,,,,,,,
167,CM-6-9,影像学诊断费,数值,是,例:10,影像学诊断费要≥0,,,,,,,
168,CM-6-10,临床诊断项目费,数值,是,例:10,临床诊断项目费要≥0,,,,,,,
169,CM-6-11,非手术治疗项目费,数值,是,例:10,非手术治疗项目费要≥0,,,,,,,
170,CM-6-12,其中：临床物理治疗费,数值,是,例:10,临床物理治疗费要≥0,,,,,,,
171,CM-6-13,手术治疗费,数值,是,例:10,手术治疗费要≥0,,,,,,,
172,CM-6-14,其中：麻醉费,数值,是,例:10,麻醉费要≥0,,,,,,,
173,CM-6-15,其中：手术费,数值,是,例:10,手术费要≥0,,,,,,,
174,CM-6-16,康复费,数值,是,例:10,康复费要≥0,,,,,,,
175,CM-6-17,中医治疗费,数值,是,例:10,中医治疗费要≥0,,,,,,,
176,CM-6-18,西药费,数值,是,例:10,西药费要≥0,,,,,,,
177,CM-6-19,其中：抗菌药物费,数值,是,例:10,抗菌药物费要≥0,,,,,,,
178,CM-6-20,中成药费,数值,是,例:10,中成药费要≥0,,,,,,,
179,CM-6-21,中草药费,数值,是,例:10,中草药费要≥0,,,,,,,
180,CM-6-22,血费,数值,是,例:10,血费要≥0,,,,,,,
181,CM-6-23,白蛋白类制品费,数值,是,例:10,白蛋白类制品费要≥0,,,,,,,
182,CM-6-24,球蛋白类制品费,数值,是,例:10,球蛋白类制品费要≥0,,,,,,,
183,CM-6-25,凝血因子类制品费,数值,是,例:10,凝血因子类制品费要≥0,,,,,,,
184,CM-6-26,细胞因子类制品费,数值,是,例:10,细胞因子类制品费要≥0,,,,,,,
185,CM-6-27,检查用一次性医用材料费,数值,是,例:10,检查用一次性医用材料费要≥0,,,,,,,
186,CM-6-28,治疗用一次性医用材料费,数值,是,例:10,治疗用一次性医用材料费要≥0,,,,,,,
187,CM-6-29,手术用一次性医用材料费,数值,是,例:10,手术用一次性医用材料费要≥0,,,,,,,
,CM-6-30,其他费,数值,是,例:10,其他费要≥0,,,,,,,
