序号,字段名称,数据采集项,数据类型,上传时不能为空,举例,备注,序号,序号,,,,,,
104,STK-2-5-1-4-1,溶栓后48小时分值,数值,参考备注,例:10,"发病→到达急诊“绿色通道”时间评估结论(STK-2-1-2)等于""发病6-24h""(d)时无需填写;","发病→到达急诊“绿色通道”时间评估结论(STK-2-1-2)等于""发病24h以上或发病时间不明""(e)时无需填写;","溶栓的评估结论的选择(STK-2-3-2)等于""有禁忌证等原因不适宜溶栓""(e)时无需填写;","是否实施溶栓后72小时NIHSS评估(STK-2-5-1-1)等于""是""(y)时必填;","是否实施溶栓后72小时NIHSS评估(STK-2-5-1-1)等于""否""(n)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,范围（0-42）;,范围（0-42）,
105,STK-2-5-1-5-1,溶栓后72小时分值,数值,参考备注,例:10,"发病→到达急诊“绿色通道”时间评估结论(STK-2-1-2)等于""发病6-24h""(d)时无需填写;","发病→到达急诊“绿色通道”时间评估结论(STK-2-1-2)等于""发病24h以上或发病时间不明""(e)时无需填写;","溶栓的评估结论的选择(STK-2-3-2)等于""有禁忌证等原因不适宜溶栓""(e)时无需填写;","是否实施溶栓后72小时NIHSS评估(STK-2-5-1-1)等于""是""(y)时必填;","是否实施溶栓后72小时NIHSS评估(STK-2-5-1-1)等于""否""(n)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,范围（0-42）;,范围（0-42）,
106,STK-2-5-3-1,是否出现溶栓治疗并发症,字符串,参考备注,"例:""y""",溶栓的评估结论(STK-2-3-2)等于a或b或c或d时必填若该字段无相应取值，则接口中不必提交该字段,见,STK-2-5-3-1选择代码表,,,,,,
107,STK-2-5-3-2,并发症严重程度,数组,参考备注,"例:[""a"",""b""]","发病→到达急诊“绿色通道”时间评估结论(STK-2-1-2)等于""发病6-24h""(d)时无需填写;","发病→到达急诊“绿色通道”时间评估结论(STK-2-1-2)等于""发病24h以上或发病时间不明""(e)时无需填写;","溶栓的评估结论的选择(STK-2-3-2)等于""有禁忌证等原因不适宜溶栓""(e)时无需填写;","是否出现溶栓治疗并发症(STK-2-5-3-1)等于""否""(n)时无需填写;","是否出现溶栓治疗并发症(STK-2-5-3-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,STK-2-5-3-2选择代码表,
108,STK-2-6-1,溶栓治疗院内延误时间超过1小时主要原因的选择,数组,参考备注,"例:[""a"",""b""]",DTN(分钟)=溶栓开始日期时间(STK-2-4-1-1)-到达本院急诊或门诊日期（时间较早者）(STK-0-2-3)大于等于60分钟时必填若该字段无相应取值，则接口中不必提交该字段,见,STK-2-6-1选择代码表,,,,,,
109,STK-2-6-2,溶栓治疗医嘱未能执行主要原因的,数组,参考备注,"例:[""a"",""b""]",DTN(分钟)=溶栓开始日期时间(STK-2-4-1-1)-到达本院急诊或门诊日期（时间较早者）(STK-0-2-3)大于等于60分钟时必填若该字段无相应取值，则接口中不必提交该字段,见,STK-2-6-2选择代码表,,,,,,
110,STK-15-1-0,是否实施血管内治疗,字符串,参考备注,"例:""UTD""","发病→到达急诊“绿色通道”时间评估结论(STK-2-1-2)等于""发病6-24h""(d)时无需填写;","发病→到达急诊“绿色通道”时间评估结论(STK-2-1-2)等于""发病24h以上或发病时间不明""(e)时无需填写;","溶栓的评估结论的选择(STK-2-3-2)等于""有禁忌证等原因不适宜溶栓""(e)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,默认初始化值:UTD见,STK-15-1-0选择代码表,,,
111,STK-15-1-1-1,血管内治疗日期时间,字符串,参考备注,"例:""1970-01-01 12:00""","发病→到达急诊“绿色通道”时间评估结论(STK-2-1-2)等于""发病6-24h""(d)时无需填写;","发病→到达急诊“绿色通道”时间评估结论(STK-2-1-2)等于""发病24h以上或发病时间不明""(e)时无需填写;","溶栓的评估结论的选择(STK-2-3-2)等于""有禁忌证等原因不适宜溶栓""(e)时无需填写;","是否实施血管内治疗(STK-15-1-0)等于""是""(y)时可填写;",若该字段无相应取值，则接口中不必提交该字段,血管内治疗日期时间应大于发病日期,,,
112,STK-15-2,血管内治疗时机,字符串,参考备注,"例:""a""","发病→到达急诊“绿色通道”时间评估结论(STK-2-1-2)等于""发病6-24h""(d)时无需填写;","发病→到达急诊“绿色通道”时间评估结论(STK-2-1-2)等于""发病24h以上或发病时间不明""(e)时无需填写;","溶栓的评估结论的选择(STK-2-3-2)等于""有禁忌证等原因不适宜溶栓""(e)时无需填写;","是否实施血管内治疗(STK-15-1-0)等于""是""(y)时可填写;",若该字段无相应取值，则接口中不必提交该字段,见,STK-15-2选择代码表,,
113,STK-15-3,决定适应证医师职称,字符串,参考备注,"例:""a""","发病→到达急诊“绿色通道”时间评估结论(STK-2-1-2)等于""发病6-24h""(d)时无需填写;","发病→到达急诊“绿色通道”时间评估结论(STK-2-1-2)等于""发病24h以上或发病时间不明""(e)时无需填写;","溶栓的评估结论的选择(STK-2-3-2)等于""有禁忌证等原因不适宜溶栓""(e)时无需填写;","是否实施血管内治疗(STK-15-1-0)等于""是""(y)时可填写;",若该字段无相应取值，则接口中不必提交该字段,见,STK-15-3选择代码表,,
114,STK-15-4,主刀医师职称,字符串,参考备注,"例:""a""","发病→到达急诊“绿色通道”时间评估结论(STK-2-1-2)等于""发病6-24h""(d)时无需填写;","发病→到达急诊“绿色通道”时间评估结论(STK-2-1-2)等于""发病24h以上或发病时间不明""(e)时无需填写;","溶栓的评估结论的选择(STK-2-3-2)等于""有禁忌证等原因不适宜溶栓""(e)时无需填写;","是否实施血管内治疗(STK-15-1-0)等于""是""(y)时可填写;",若该字段无相应取值，则接口中不必提交该字段,见,STK-15-4选择代码表,,
115,STK-15-6,大血管闭塞重症患者实施血管内适应证选择,数组,参考备注,"例:[""a"",""b""]","发病→到达急诊“绿色通道”时间评估结论(STK-2-1-2)等于""发病6-24h""(d)时无需填写;","发病→到达急诊“绿色通道”时间评估结论(STK-2-1-2)等于""发病24h以上或发病时间不明""(e)时无需填写;","溶栓的评估结论的选择(STK-2-3-2)等于""有禁忌证等原因不适宜溶栓""(e)时无需填写;","是否实施血管内治疗(STK-15-1-0)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,年龄18岁以上，才能继续填报见,STK-15-6选择代码表,,
116,STK-15-6-1,其它适应证,字符串,参考备注,"例:""填写文字说明""","发病→到达急诊“绿色通道”时间评估结论(STK-2-1-2)等于""发病6-24h""(d)时无需填写;","发病→到达急诊“绿色通道”时间评估结论(STK-2-1-2)等于""发病24h以上或发病时间不明""(e)时无需填写;","溶栓的评估结论的选择(STK-2-3-2)等于""有禁忌证等原因不适宜溶栓""(e)时无需填写;","大血管闭塞重症患者实施血管内适应证选择(STK-15-6)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,长度不能大于20,,,
117,STK-15-5-1,血管内治疗术式选择,字符串,参考备注,"例:""a""","发病→到达急诊“绿色通道”时间评估结论(STK-2-1-2)等于""发病6-24h""(d)时无需填写;","发病→到达急诊“绿色通道”时间评估结论(STK-2-1-2)等于""发病24h以上或发病时间不明""(e)时无需填写;","溶栓的评估结论的选择(STK-2-3-2)等于""有禁忌证等原因不适宜溶栓""(e)时无需填写;","是否实施血管内治疗(STK-15-1-0)等于""是""(y)时可填写;",若该字段无相应取值，则接口中不必提交该字段,见,STK-15-5-1选择代码表,,
118,STK-2-6-2-1,急诊入院时间,字符串,参考备注,"例:""1970-01-01 12:00""","发病→到达急诊“绿色通道”时间评估结论(STK-2-1-2)等于""发病6-24h""(d)时无需填写;","发病→到达急诊“绿色通道”时间评估结论(STK-2-1-2)等于""发病24h以上或发病时间不明""(e)时无需填写;","溶栓的评估结论的选择(STK-2-3-2)等于""有禁忌证等原因不适宜溶栓""(e)时无需填写;","是否实施血管内治疗(STK-15-1-0)等于""是""(y)时可填写;",若该字段无相应取值，则接口中不必提交该字段,,,,
119,STK-2-6-2-2,完成动脉穿刺时间,字符串,参考备注,"例:""1970-01-01 12:00""","发病→到达急诊“绿色通道”时间评估结论(STK-2-1-2)等于""发病6-24h""(d)时无需填写;","发病→到达急诊“绿色通道”时间评估结论(STK-2-1-2)等于""发病24h以上或发病时间不明""(e)时无需填写;","溶栓的评估结论的选择(STK-2-3-2)等于""有禁忌证等原因不适宜溶栓""(e)时无需填写;","是否实施血管内治疗(STK-15-1-0)等于""是""(y)时可填写;",若该字段无相应取值，则接口中不必提交该字段,完成动脉穿刺时间应大于急诊入院时间,,,
120,STK-2-6-2-3,成功再灌注时间,字符串,参考备注,"例:""1970-01-01 12:00""","发病→到达急诊“绿色通道”时间评估结论(STK-2-1-2)等于""发病6-24h""(d)时无需填写;","发病→到达急诊“绿色通道”时间评估结论(STK-2-1-2)等于""发病24h以上或发病时间不明""(e)时无需填写;","溶栓的评估结论的选择(STK-2-3-2)等于""有禁忌证等原因不适宜溶栓""(e)时无需填写;","是否实施血管内治疗(STK-15-1-0)等于""是""(y)时可填写;",若该字段无相应取值，则接口中不必提交该字段,成功再灌注时间应大于完成动脉穿刺时间,,,
121,STK-2-6-2-4,DPT：入院到完成动脉穿刺时间(分),数值,否,例:10,"发病→到达急诊“绿色通道”时间评估结论(STK-2-1-2)等于""发病6-24h""(d)时无需填写;","发病→到达急诊“绿色通道”时间评估结论(STK-2-1-2)等于""发病24h以上或发病时间不明""(e)时无需填写;","溶栓的评估结论的选择(STK-2-3-2)等于""有禁忌证等原因不适宜溶栓""(e)时无需填写;","是否实施血管内治疗(STK-15-1-0)等于""是""(y)时可填写;","日期差值计算公式:完成动脉穿刺时间(STK-2-6-2-2)-急诊入院时间(STK-2-6-2-1),单位:分钟",,,,
122,STK-2-6-2-5,PRT：完成动脉穿刺到成功再灌注时间(分),数值,否,例:10,"发病→到达急诊“绿色通道”时间评估结论(STK-2-1-2)等于""发病6-24h""(d)时无需填写;","发病→到达急诊“绿色通道”时间评估结论(STK-2-1-2)等于""发病24h以上或发病时间不明""(e)时无需填写;","溶栓的评估结论的选择(STK-2-3-2)等于""有禁忌证等原因不适宜溶栓""(e)时无需填写;","是否实施血管内治疗(STK-15-1-0)等于""是""(y)时可填写;","日期差值计算公式:成功再灌注时间(STK-2-6-2-3)-完成动脉穿刺时间(STK-2-6-2-2),单位:分钟",,,,
123,STK-15-7,是否实施影像学评估血管再通分级（mTICI评分）,字符串,参考备注,"例:""y""","发病→到达急诊“绿色通道”时间评估结论(STK-2-1-2)等于""发病6-24h""(d)时无需填写;","发病→到达急诊“绿色通道”时间评估结论(STK-2-1-2)等于""发病24h以上或发病时间不明""(e)时无需填写;","溶栓的评估结论的选择(STK-2-3-2)等于""有禁忌证等原因不适宜溶栓""(e)时无需填写;","是否实施血管内治疗(STK-15-1-0)等于""是""(y)时可填写;",若该字段无相应取值，则接口中不必提交该字段,见,STK-15-7选择代码表,,
124,STK-15-7-1,血管再通分级（mTICI评分标准）,数组,参考备注,"例:[""a"",""b""]","发病→到达急诊“绿色通道”时间评估结论(STK-2-1-2)等于""发病6-24h""(d)时无需填写;","发病→到达急诊“绿色通道”时间评估结论(STK-2-1-2)等于""发病24h以上或发病时间不明""(e)时无需填写;","溶栓的评估结论的选择(STK-2-3-2)等于""有禁忌证等原因不适宜溶栓""(e)时无需填写;","是否实施影像学评估血管再通分级（mTICI评分）(STK-15-7)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,STK-15-7-1选择代码表,,
125,STK-3-1-1-1,是否为房颤患者脑卒中,字符串,是,"例:""y""",见,STK-3-1-1-1选择代码表,,,,,,,
126,STK-3-1-1,是否实施房颤患者脑卒中风险评估,字符串,参考备注,"例:""y""","是否为房颤患者脑卒中(STK-3-1-1-1)等于""是""(y)时必填;","是否为房颤患者脑卒中(STK-3-1-1-1)等于""否""(n)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,STK-3-1-1选择代码表,,,,
127,STK-3-1-2-1,房颤患者脑卒中风险评估分值,数值,参考备注,例:10,"是否为房颤患者脑卒中(STK-3-1-1-1)等于""否""(n)时无需填写;","是否实施房颤患者脑卒中风险评估(STK-3-1-1)等于""是""(y)时必填;","是否实施房颤患者脑卒中风险评估(STK-3-1-1)等于""否""(n)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,,,,,
128,STK-3-1-3,CHA2DS2-VASc评分大于2分,字符串,否,"例:""y""","是否为房颤患者脑卒中(STK-3-1-1-1)等于""否""(n)时无需填写;","是否实施房颤患者脑卒中风险评估(STK-3-1-1)等于""是""(y)时可填写;","是否实施房颤患者脑卒中风险评估(STK-3-1-1)等于""否""(n)时无需填写;",见,STK-3-1-3选择代码表,,,,
129,STK-3-4-1,是否实施房颤鉴别STAF评分,字符串,参考备注,"例:""y""","是否为房颤患者脑卒中(STK-3-1-1-1)等于""是""(y)时必填;","是否为房颤患者脑卒中(STK-3-1-1-1)等于""否""(n)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,STK-3-4-1选择代码表,,,,
130,STK-3-4-2,房颤鉴别STAF评分分值,数值,参考备注,例:10,"是否为房颤患者脑卒中(STK-3-1-1-1)等于""否""(n)时无需填写;","是否实施房颤鉴别STAF评分(STK-3-4-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,房颤鉴别STAF评分值填写范围(0~8);,房颤鉴别STAF评分值填写范围(0~8),,,,
131,STK-3-4-3,是否STAF评分评分值大于5分,字符串,参考备注,"例:""y""","是否为房颤患者脑卒中(STK-3-1-1-1)等于""否""(n)时无需填写;","是否实施房颤鉴别STAF评分(STK-3-4-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,STK-3-4-3选择代码表,,,,
132,STK-3-5-1,是否实施房颤抗凝出血风险评估HAS-BLED评分,字符串,参考备注,"例:""y""","是否为房颤患者脑卒中(STK-3-1-1-1)等于""是""(y)时必填;","是否为房颤患者脑卒中(STK-3-1-1-1)等于""否""(n)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,STK-3-5-1选择代码表,,,,
133,STK-3-5-2,房颤抗凝出血风险评估HAS-BLED评分值,数值,参考备注,例:10,"是否为房颤患者脑卒中(STK-3-1-1-1)等于""否""(n)时无需填写;","是否实施房颤抗凝出血风险评估HAS-BLED评分(STK-3-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,房颤抗凝出血风险评估评分值填写范围(0~8);,房颤抗凝出血风险评估评分值填写范围(0~8),,,,
134,STK-3-5-3,是否HAS-BLED评分值大于3分,字符串,参考备注,"例:""y""","是否为房颤患者脑卒中(STK-3-1-1-1)等于""否""(n)时无需填写;","是否实施房颤抗凝出血风险评估HAS-BLED评分(STK-3-5-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,STK-3-5-3选择代码表,,,,
135,STK-3-2-1,是否有使用抗凝药物的禁忌证,字符串,参考备注,"例:""y""","是否为房颤患者脑卒中(STK-3-1-1-1)等于""是""(y)时必填;","是否为房颤患者脑卒中(STK-3-1-1-1)等于""否""(n)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,STK-3-2-1选择代码表,,,,
136,STK-3-2-2,使用抗凝药物的禁忌症,数组,参考备注,"例:[""a"",""b""]","是否为房颤患者脑卒中(STK-3-1-1-1)等于""否""(n)时无需填写;","是否有使用抗凝药物的禁忌证(STK-3-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,STK-3-2-2选择代码表,,,,
137,STK-3-3-1,是否使用抗凝药物,字符串,参考备注,"例:""y""","是否为房颤患者脑卒中(STK-3-1-1-1)等于""否""(n)时无需填写;","是否有使用抗凝药物的禁忌证(STK-3-2-1)等于""是""(y)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,STK-3-3-1选择代码表,,,,
138,STK-3-3-2-1-1,首剂用药日期时间,字符串,参考备注,"例:""1970-01-01 12:00""","是否为房颤患者脑卒中(STK-3-1-1-1)等于""否""(n)时无需填写;","是否有使用抗凝药物的禁忌证(STK-3-2-1)等于""是""(y)时无需填写;","是否使用抗凝药物(STK-3-3-1)等于""是""(y)时必填;","是否使用抗凝药物(STK-3-3-1)等于""否""(n)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,抗凝药物的首剂用药日期时间应大于入院日期时间,,,
139,STK-3-3-3,抗凝药物选择,字符串,参考备注,"例:""a""","是否为房颤患者脑卒中(STK-3-1-1-1)等于""否""(n)时无需填写;","是否有使用抗凝药物的禁忌证(STK-3-2-1)等于""是""(y)时无需填写;","是否使用抗凝药物(STK-3-3-1)等于""是""(y)时必填;","是否使用抗凝药物(STK-3-3-1)等于""否""(n)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,STK-3-3-3选择代码表,,
140,STK-4-1-1,是否有使用抗血小板药物禁忌证,字符串,是,"例:""y""",见,STK-4-1-1选择代码表,,,,,,,
141,STK-4-1-2,抗血小板药物禁忌证,字符串,参考备注,"例:""a""","是否有使用抗血小板药物禁忌证(STK-4-1-1)等于""是""(y)时必填;","是否有使用抗血小板药物禁忌证(STK-4-1-1)等于""否""(n)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,STK-4-1-2选择代码表,,,,
142,STK-4-2-3,患者类别选择,字符串,参考备注,"例:""a""","是否有使用抗血小板药物禁忌证(STK-4-1-1)等于""是""(y)时无需填写;","是否有使用抗血小板药物禁忌证(STK-4-1-1)等于""否""(n)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,STK-4-2-3选择代码表,,,,
143,STK-4-2-2-1,首剂用药日期时间,字符串,参考备注,"例:""1970-01-01 12:00""","是否有使用抗血小板药物禁忌证(STK-4-1-1)等于""是""(y)时无需填写;","是否有使用抗血小板药物禁忌证(STK-4-1-1)等于""否""(n)时必填;",若该字段无相应取值，则接口中不必提交该字段,入院后首剂阿司匹林/氯吡格雷给予时间应大于入院日期时间,,,,,
144,STK-4-3-2,药物选择,数组,参考备注,"例:[""a"",""b""]","是否有使用抗血小板药物禁忌证(STK-4-1-1)等于""是""(y)时无需填写;","是否有使用抗血小板药物禁忌证(STK-4-1-1)等于""否""(n)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,STK-4-3-2选择代码表,,,,
145,STK-4-3-1,其他抗血小板药物,字符串,参考备注,"例:""填写文字说明""","是否有使用抗血小板药物禁忌证(STK-4-1-1)等于""是""(y)时无需填写;","药物选择(STK-4-3-2)等于""其他抗血小板药物""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,长度不能大于20,,,,,
146,STK-5-1,血脂评价时间的选择,字符串,是,"例:""a""",见,STK-5-1选择代码表,,,,,,,
147,STK-5-2,血脂评价结果,字符串,参考备注,"例:""a""","血脂评价时间的选择(STK-5-1)等于""入院前30天内已经做过血脂水平评估""(a)时必填;","血脂评价时间的选择(STK-5-1)等于""入院后首次血脂水平评估""(b)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,STK-5-2选择代码表,,,,
148,STK-5-3-1,是否有他汀药物禁忌症,字符串,是,"例:""y""",见,STK-5-3-1选择代码表,,,,,,,
149,STK-5-3-2,他汀类药物禁忌证的选择,字符串,参考备注,"例:""a""","是否有他汀药物禁忌症(STK-5-3-1)等于""是""(y)时必填;","是否有他汀药物禁忌症(STK-5-3-1)等于""否""(n)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,STK-5-3-2选择代码表,,,,
150,STK-5-4,是否有用药长期医嘱-他汀类药物,字符串,参考备注,"例:""y""","是否有他汀药物禁忌症(STK-5-3-1)等于""是""(y)时无需填写;","是否有他汀药物禁忌症(STK-5-3-1)等于""否""(n)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,STK-5-4选择代码表,,,,
151,STK-5-4-1,他汀类常用药物选择,数组,参考备注,"例:[""a"",""b""]","是否有他汀药物禁忌症(STK-5-3-1)等于""是""(y)时无需填写;","是否有他汀药物禁忌症(STK-5-3-1)等于""否""(n)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,STK-5-4-1选择代码表,,,,
152,STK-5-5-1,是否糖尿病患者,字符串,是,"例:""UTD""",默认初始化值:UTD见,STK-5-5-1选择代码表,,,,,,,
153,STK-5-5-2,选择降糖药物的类别,数组,参考备注,"例:[""a"",""b""]","是否糖尿病患者(STK-5-5-1)等于""是""(y)时必填;","是否糖尿病患者(STK-5-5-1)等于""否""(n)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,STK-5-5-2选择代码表,,,,
154,STK-5-5-2-1,其他降糖药物,字符串,参考备注,"例:""填写文字说明""","是否糖尿病患者(STK-5-5-1)等于""否""(n)时无需填写;","选择降糖药物的类别(STK-5-5-2)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,长度不能大于50,,,,,
155,STK-5-7-1,是否高血压患者,字符串,是,"例:""UTD""",默认初始化值:UTD见,STK-5-7-1选择代码表,,,,,,,
156,STK-5-7-2,选择降压药物的类别,数组,参考备注,"例:[""a"",""b""]","是否高血压患者(STK-5-7-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,STK-5-7-2选择代码表,,,,,
157,STK-5-7-2-1,其它降压药物,字符串,参考备注,"例:""填写文字说明""","选择降压药物的类别(STK-5-7-2)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,长度不能大于20,,,,,,
158,STK-6-1,入院时是否正常进食与饮水,字符串,是,"例:""y""",见,STK-6-1选择代码表,,,,,,,
159,STK-6-2-0,是否进行吞咽评估,字符串,参考备注,"例:""y""","入院时是否正常进食与饮水(STK-6-1)等于""否""(n)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,STK-6-2-0选择代码表,,,,,
160,STK-6-2-1-1,首次吞咽困难评估日期时间,字符串,参考备注,"例:""1970-01-01 12:00""","是否进行吞咽评估(STK-6-2-0)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,首次吞咽困难评估日期时间应大于入院日期时间,,,,,,
161,STK-6-3-1-2,评价方法选择,数组,参考备注,"例:[""a"",""b""]","是否进行吞咽评估(STK-6-2-0)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,STK-6-3-1-2选择代码表,,,,,
162,STK-6-3-1-1,其他评价方法填写,字符串,参考备注,"例:""填写文字说明""","评价方法选择(STK-6-3-1-2)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,长度不能大于50,,,,,,
163,STK-6-3-2,未进行吞咽困难评价的原因,字符串,参考备注,"例:""aa""","是否进行吞咽评估(STK-6-2-0)等于""否""(n)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,STK-6-3-2选择代码表,,,,,
164,STK-6-3-2-1,其它未进行吞咽困难评价的原因,字符串,参考备注,"例:""填写文字说明""","未进行吞咽困难评价的原因(STK-6-3-2)等于""其他""(oth)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,,,,
165,STK-7-1,入院后病情判定,字符串,是,"例:""a""",见,STK-7-1选择代码表,,,,,,,
166,STK-7-2-1,是否需要做预防DVT治疗,字符串,参考备注,"例:""y""","入院后病情判定(STK-7-1)等于""入院第二天末，患者不能下地行走""(d)时必填;","入院后病情判定(STK-7-1)等于""下肢肌力小于等于3级""(e)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,STK-7-2-1选择代码表,,,,
167,STK-7-2-2,禁忌证选择,数组,参考备注,"例:[""g"",""d""]","是否需要做预防DVT治疗(STK-7-2-1)等于""是""(y)时必填;",若该字段无相应取值，则接口中不必提交该字段,见,STK-7-2-2选择代码表,,,,,
168,STK-7-2-3-1-1,血栓泵-间歇充气加压治疗医嘱执行日期与时间,字符串,参考备注,"例:""1970-01-01 12:00""","禁忌证选择(STK-7-2-2)等于""无禁忌症""(e)时必填;",若该字段无相应取值，则接口中不必提交该字段,,,,,,,
169,STK-8-1-2,出院时继续使用抗血小扳聚集治疗药物,数组,参考备注,"例:[""a"",""b""]","离院方式选择(CM-4-3)等于""死亡""(e)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,STK-8-1-2选择代码表,,,,,
170,STK-8-1-1,其他抗血小板聚集治疗药物,字符串,参考备注,"例:""填写文字说明""","出院时继续使用抗血小扳聚集治疗药物(STK-8-1-2)等于""其他抗血小板药物""(oth)时必填;","离院方式选择(CM-4-3)等于""死亡""(e)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,长度不能大于20,,,,,
171,STK-8-2-2,出院时使用选择他汀类药物,数组,参考备注,"例:[""a"",""b""]","离院方式选择(CM-4-3)等于""死亡""(e)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,STK-8-2-2选择代码表,,,,,
172,STK-8-2-2-1,其他他汀类药物,字符串,参考备注,"例:""填写文字说明""","出院时使用选择他汀类药物(STK-8-2-2)等于""其他他汀类药物""(oth)时必填;","离院方式选择(CM-4-3)等于""死亡""(e)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,,,,
173,STK-8-3-2,出院时使用抗凝药物,数组,参考备注,"例:[""a"",""b""]","离院方式选择(CM-4-3)等于""死亡""(e)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,STK-8-3-2选择代码表,,,,,
174,STK-8-3-2-1,其他抗凝药物,字符串,参考备注,"例:""填写文字说明""","出院时使用抗凝药物(STK-8-3-2)等于""其他抗凝药物""(oth)时必填;","离院方式选择(CM-4-3)等于""死亡""(e)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,文本长度不能超过20个字说明,,,,,
175,STK-8-4,出院时使用降糖药物的类别,数组,参考备注,"例:[""a"",""b""]","是否糖尿病患者(STK-5-5-1)等于""否""(n)时无需填写;","离院方式选择(CM-4-3)等于""死亡""(e)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,STK-8-4选择代码表,,,,
176,STK-8-4-1,其他降糖药物,字符串,参考备注,"例:""填写文字说明""","是否糖尿病患者(STK-5-5-1)等于""否""(n)时无需填写;","出院时使用降糖药物的类别(STK-8-4)等于""其他降糖药物""(oth)时必填;","离院方式选择(CM-4-3)等于""死亡""(e)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,,,,,
177,STK-8-5-0,是否出院时有高血压,字符串,参考备注,"例:""y""","离院方式选择(CM-4-3)等于""死亡""(e)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,STK-8-5-0选择代码表,,,,,
178,STK-8-5,出院时有高血压患者选择降压药物的类别,数组,参考备注,"例:[""a"",""b""]","是否出院时有高血压(STK-8-5-0)等于""是""(y)时必填;","离院方式选择(CM-4-3)等于""死亡""(e)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,STK-8-5选择代码表,,,,
179,STK-8-5-1,其他降压药物,字符串,参考备注,"例:""填写文字说明""","出院时有高血压患者选择降压药物的类别(STK-8-5)等于""其他降压药物""(oth)时必填;","离院方式选择(CM-4-3)等于""死亡""(e)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,,,,,,
180,STK-9-1,入院时是否有重点护理评估记录,字符串,参考备注,"例:""y""","离院方式选择(CM-4-3)等于""死亡""(e)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,STK-9-1选择代码表,,,,,
181,STK-9-1-1,行走评估结果,字符串,参考备注,"例:""a""","入院时是否有重点护理评估记录(STK-9-1)等于""是""(y)时必填;","离院方式选择(CM-4-3)等于""死亡""(e)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,STK-9-1-1选择代码表,,,,
182,STK-9-1-2,呼吸评估结果,字符串,参考备注,"例:""a""","入院时是否有重点护理评估记录(STK-9-1)等于""是""(y)时必填;","离院方式选择(CM-4-3)等于""死亡""(e)时无需填写;",若该字段无相应取值，则接口中不必提交该字段,见,STK-9-1-2选择代码表,,,,
